CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_CARD_PROM,LIFETIME_PROM,DONOR_AGE,PCT_ATTRIBUTE3,MOR_HIT_RATE,URBANICITY,PCT_OWNER_OCCUPIED,RECENT_CARD_RESPONSE_PROP,CARD_PROM_12,RECENT_RESPONSE_PROP,MONTHS_SINCE_ORIGIN,LAST_GIFT_AMT,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,LIFETIME_GIFT_COUNT,PER_CAPITA_INCOME,LIFETIME_MIN_GIFT_AMT
127498,0,15,15,41,77.0,30,0,S,39,0.143,6,0.133,65,50.0,0,A,3,24285,15.0
137678,0,48,26,65,73.0,19,0,R,78,0.727,6,0.579,101,4.0,1,S,29,11624,3.0
25601,0,08,9,22,75.0,18,5,U,58,0.167,4,0.154,29,15.0,0,A,2,8237,10.0
116492,0,14,12,29,30.0,27,0,S,99,0.0,4,0.053,41,20.0,0,A,2,27704,5.0
109986,0,50,9,25,57.0,29,0,R,79,0.4,6,0.3,29,10.0,0,N,5,8409,3.0
146014,0,03,5,14,,25,0,U,51,0.5,4,0.2,17,15.0,0,F,1,20976,15.0
122384,0,43,5,13,39.0,29,0,R,84,0.5,4,0.2,17,15.0,0,F,1,8296,15.0
163675,1,06,24,58,62.0,23,0,U,72,0.182,6,0.091,89,15.0,0,A,8,17493,5.0
27256,0,40,21,51,69.0,33,18,T,89,0.667,5,0.545,89,10.0,1,S,28,18823,2.0
124514,1,27,21,48,40.0,43,0,C,74,0.091,6,0.045,53,21.0,0,A,7,12960,10.0
8531,1,49,29,89,37.0,32,3,R,85,0.286,6,0.222,137,10.0,4,A,19,12368,3.0
81639,0,53,8,23,,33,1,R,72,0.2,4,0.154,29,15.0,0,A,2,7364,10.0
174094,0,11,4,10,37.0,42,0,S,79,1.0,3,0.5,17,20.0,0,E,1,19165,20.0
186699,1,10,27,79,,7,0,U,53,0.364,7,0.227,101,10.0,1,S,16,5317,5.0
29589,1,21,22,53,49.0,15,0,S,86,0.1,6,0.238,65,8.0,1,S,18,10847,3.0
180124,0,13,20,51,41.0,12,0,S,66,0.0,6,0.111,89,20.0,0,A,7,20762,2.0
179869,0,12,33,73,55.0,24,6,S,64,0.1,5,0.095,137,25.0,12,L,15,14644,5.0
35922,0,20,21,52,64.0,35,13,S,72,0.167,4,0.071,113,15.0,0,A,8,17172,5.0
124879,0,40,22,54,57.0,45,0,T,80,0.111,4,0.188,89,13.0,0,A,13,13413,1.0
26192,0,14,15,40,,46,1,S,24,0.429,6,0.25,53,15.0,0,A,5,27518,10.0
16581,0,11,9,21,68.0,26,1,S,52,0.167,4,0.154,41,15.0,0,A,2,20182,10.0
159821,0,27,26,61,35.0,59,3,C,68,0.0,6,0.1,113,20.0,0,A,9,12151,5.0
113882,1,41,25,60,71.0,41,0,T,71,0.182,6,0.182,89,7.0,1,S,23,9167,3.0
98936,0,36,17,36,69.0,26,0,T,68,0.4,5,0.2,89,20.0,1,S,13,11676,5.0
41221,0,10,12,31,76.0,15,4,U,73,0.25,2,0.125,113,15.0,0,A,8,9839,3.0
115676,1,36,25,61,,31,0,T,38,0.182,6,0.182,101,15.0,0,A,9,7393,3.0
176091,0,25,25,65,50.0,18,35,C,23,0.0,6,0.091,101,50.0,0,A,8,11247,10.0
83983,1,15,30,74,74.0,40,0,S,80,0.273,6,0.286,113,15.0,1,S,20,24617,5.0
185880,1,21,20,58,79.0,19,26,S,83,0.0,5,0.077,101,15.0,0,A,8,13149,5.0
103032,0,36,15,32,33.0,45,7,T,63,0.6,6,0.5,41,7.0,1,S,12,12406,3.0
5140,1,14,29,108,75.0,44,0,S,97,0.143,5,0.25,125,9.0,1,S,34,24693,2.0
96504,0,16,19,51,,27,0,S,66,0.0,5,0.143,77,20.0,0,A,7,11812,5.0
167593,0,06,24,60,74.0,67,0,U,63,0.1,6,0.143,77,25.0,1,S,14,13749,5.0
75511,0,28,12,28,67.0,23,8,C,81,0.375,6,0.313,29,6.0,1,S,6,17120,3.0
126513,0,52,16,47,,35,0,R,79,0.5,5,0.286,41,11.0,1,S,11,10603,1.0
96585,0,25,25,58,73.0,35,2,C,42,0.273,6,0.263,89,20.0,1,S,11,10745,5.0
168423,1,02,5,12,,21,0,U,80,0.0,4,0.2,17,20.0,0,F,1,18694,20.0
185028,0,50,24,75,51.0,35,0,R,83,0.222,5,0.1,89,10.0,12,A,23,7813,5.0
6912,1,25,33,131,71.0,48,0,C,72,0.455,11,0.444,101,15.0,1,S,48,9154,5.0
706,0,36,17,46,54.0,30,13,T,70,0.0,5,0.067,77,15.0,0,A,11,15080,5.0
159550,1,48,21,55,39.0,14,0,R,78,0.0,6,0.095,65,15.0,0,A,10,11984,5.0
44395,0,41,21,53,71.0,22,0,T,80,0.182,6,0.182,65,13.0,0,A,12,10637,5.0
129541,0,35,14,30,74.0,47,3,T,83,0.5,6,0.35,41,5.0,0,A,7,18745,3.0
190377,1, .,19,40,,0,0,?,90,0.5,2,0.5,125,24.0,0,E,19,18273,5.0
43319,0,26,5,13,,18,0,C,76,0.0,4,0.2,17,15.0,0,F,1,20141,15.0
137973,0,30,10,23,61.0,32,1,C,74,0.5,6,0.25,29,10.0,0,A,4,9441,5.0
51521,0,27,17,40,42.0,20,3,C,48,0.182,6,0.19,41,18.0,0,A,7,12459,5.0
113186,1,25,31,75,77.0,29,0,C,25,0.5,5,0.381,125,5.0,1,S,28,22877,3.0
24232,0,42,6,15,31.0,23,0,R,58,0.333,4,0.143,17,20.0,0,F,1,23868,20.0
184012,0,26,22,55,82.0,51,0,C,17,0.333,4,0.235,113,19.0,0,A,13,18330,1.0
18752,0,24,14,39,43.0,48,0,C,92,0.286,5,0.111,53,20.0,0,A,5,19921,5.0
41783,0,23,12,29,35.0,17,0,C,72,0.5,6,0.313,29,9.0,0,A,6,27059,5.0
118487,1,48,10,26,29.0,21,0,R,76,0.25,4,0.083,41,20.0,0,A,2,10643,10.0
135098,1,17,25,64,66.0,20,0,S,31,0.0,4,0.063,137,15.0,0,A,12,15108,5.0
82909,0,12,16,40,39.0,50,2,S,93,0.125,6,0.158,53,15.0,0,A,5,16312,5.0
101372,0,53,15,35,68.0,27,0,R,78,0.3,6,0.316,41,14.0,0,A,8,8840,5.0
98099,1,49,11,26,31.0,45,1,R,71,0.286,5,0.176,29,15.0,0,A,3,13570,10.0
63793,0,51,13,30,65.0,29,1,R,68,0.222,6,0.222,41,20.0,0,A,4,8208,5.0
188078,1,35,19,42,,46,0,T,57,0.25,2,0.25,113,10.0,5,E,24,18815,3.0
152468,0,13,27,65,73.0,33,0,S,84,0.222,5,0.111,113,12.0,0,A,10,34044,5.0
11094,0,46,35,134,,36,0,R,84,0.3,9,0.286,113,15.0,1,S,45,14142,3.0
52903,0,35,15,39,70.0,40,0,T,85,0.125,6,0.105,53,20.0,0,A,4,18981,5.0
143435,0,01,5,12,,45,0,U,69,0.5,4,0.25,17,20.0,0,F,1,14950,20.0
171943,0,18,13,34,65.0,36,2,S,77,0.0,3,0.067,65,20.0,0,E,4,11028,6.0
169589,0,40,5,13,,32,0,T,71,0.333,3,0.143,17,15.0,0,F,1,11382,15.0
147855,1,13,28,69,80.0,13,2,S,95,0.25,4,0.188,125,12.0,1,S,23,33442,3.0
9138,0,29,27,123,87.0,3,19,C,84,0.0,6,0.05,113,20.0,0,A,14,25240,10.0
137914,0,51,8,19,54.0,37,5,R,83,0.25,5,0.2,29,15.0,0,N,2,8306,15.0
56862,0,39,22,54,62.0,39,1,T,79,0.222,4,0.25,101,7.0,1,S,20,7958,3.0
45175,0,07,17,42,,30,0,U,0,0.0,5,0.095,53,15.0,0,A,5,0,5.0
88322,0,22,11,24,65.0,55,0,C,99,0.286,6,0.231,29,15.0,0,A,3,19338,15.0
107537,0,45,18,44,,28,4,R,70,0.0,6,0.053,65,25.0,0,A,5,10541,10.0
178831,0,15,22,59,39.0,52,0,S,59,0.4,5,0.2,77,13.0,3,A,17,15436,5.0
85574,0,48,10,25,68.0,17,0,R,81,0.667,6,0.417,29,9.0,0,A,5,11036,5.0
151846,1,12,7,19,,53,0,S,51,0.667,5,0.429,17,9.0,0,N,4,8270,3.0
52793,0,23,26,65,87.0,21,6,C,74,0.182,6,0.136,89,25.0,0,A,12,64331,5.0
39246,1,18,10,25,73.0,31,2,S,95,0.667,6,0.538,29,5.0,0,A,8,15640,3.0
75238,0,31,29,80,,26,26,C,61,0.125,3,0.167,137,12.0,8,E,29,9721,5.0
61586,1,38,19,56,67.0,32,3,T,47,0.0,4,0.118,89,15.0,0,A,8,13661,10.0
108290,0,03,6,14,39.0,21,0,U,50,0.5,5,0.2,17,20.0,0,F,1,34655,20.0
184075,0,31,22,50,50.0,29,9,C,45,0.111,6,0.105,77,25.0,0,A,5,11042,10.0
186448,1,13,24,73,,10,0,S,68,0.333,6,0.333,89,10.0,1,S,33,53158,2.0
62608,0,30,10,25,81.0,17,1,C,70,0.333,6,0.333,29,32.0,0,A,4,15427,8.0
100905,0,24,13,30,33.0,27,0,C,42,0.111,5,0.105,77,17.0,0,A,4,6579,10.0
87280,0,49,14,31,45.0,41,0,R,82,0.333,6,0.278,41,10.0,0,A,6,10665,3.0
184282,0,44,16,41,,43,0,R,78,0.125,6,0.211,53,10.0,0,A,7,12736,5.0
54243,0,34,12,31,50.0,23,5,T,72,0.143,5,0.167,41,15.0,0,A,4,13824,5.0
131488,0,15,5,13,57.0,32,15,S,26,0.5,4,0.2,17,15.0,0,F,1,17387,15.0
93500,1,10,30,70,60.0,0,0,U,86,0.111,6,0.158,137,6.0,0,A,12,15176,5.0
17516,0,40,20,56,43.0,49,0,T,82,0.1,6,0.095,65,14.0,0,A,8,14090,10.0
120725,0,53,29,73,17.0,6,0,R,78,0.0,5,0.167,137,11.0,0,A,24,13262,4.0
