CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_STAR_STATUS,CARD_PROM_12,FREQUENCY_STATUS_97NK,DONOR_GENDER,MONTHS_SINCE_LAST_GIFT,LIFETIME_GIFT_RANGE,LIFETIME_PROM,PCT_OWNER_OCCUPIED,MEDIAN_HOUSEHOLD_INCOME,RECENT_RESPONSE_COUNT,LIFETIME_GIFT_AMOUNT,WEALTH_RATING,LIFETIME_MAX_GIFT_AMT,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_PROP,FILE_AVG_GIFT,RECENT_CARD_RESPONSE_PROP
44893,0,33,1,3,3,F,17,5.0,37,86,211,4,51.0,2.0,6.0,5.0,0.4,3.4,0.75
151575,0,18,0,6,1,M,21,15.0,56,91,514,1,102.0,8.0,20.0,20.0,0.053,14.57,0.111
387,1,40,0,5,3,F,18,7.0,43,97,413,5,70.0,,10.0,6.0,0.278,5.83,0.222
39632,0,35,1,6,3,F,20,5.0,63,81,579,6,130.0,9.0,10.0,8.25,0.316,7.22,0.4
144393,1,05,1,6,2,F,19,9.0,69,50,352,5,164.0,5.0,13.0,0.0,0.227,8.63,0.0
113830,0,45,0,4,1,U,23,5.0,46,79,185,1,67.0,1.0,15.0,15.0,0.059,13.4,0.143
100263,0,13,0,6,3,F,18,12.0,30,96,641,5,63.0,,15.0,10.0,0.294,10.5,0.25
177037,0,44,1,6,2,M,19,23.0,76,82,340,2,160.0,7.0,25.0,0.0,0.1,10.0,0.0
187503,0,18,0,2,3,U,16,6.0,13,43,258,4,36.0,,11.0,8.67,0.571,9.0,0.75
97596,1,30,6,4,1,F,26,10.0,28,68,283,2,30.0,,15.0,10.0,0.111,10.0,0.111
185880,1,21,0,5,1,M,6,10.0,58,83,330,1,81.0,,15.0,0.0,0.077,10.13,0.0
145472,0,02,1,5,2,M,21,6.0,61,87,527,3,75.0,,11.0,11.0,0.158,6.82,0.111
32380,1,29,1,5,3,M,21,5.0,66,71,266,6,81.0,,7.0,5.0,0.353,4.76,0.556
130191,0,05,1,6,3,F,20,3.0,78,87,414,7,96.0,7.0,5.0,3.5,0.35,3.43,0.4
97774,1,36,0,6,4,F,18,28.0,43,76,263,5,161.0,3.0,31.0,25.0,0.227,17.89,0.091
68794,0,18,0,6,3,M,16,6.0,25,94,455,4,48.0,,16.0,12.67,0.286,12.0,0.5
73762,1,18,0,6,2,M,17,20.0,74,64,430,2,175.0,7.0,25.0,25.0,0.105,17.5,0.222
105736,0,31,0,4,1,F,24,0.0,17,78,298,1,25.0,,25.0,25.0,0.1,25.0,0.25
89512,0,25,0,3,1,M,15,0.0,10,42,254,1,20.0,,20.0,20.0,0.5,20.0,1.0
168714,0,30,1,6,2,F,17,7.0,70,55,216,3,105.0,,10.0,9.0,0.176,7.0,0.375
189715,1,01,0,2,2,F,17,5.0,9,38,504,2,65.0,,20.0,17.5,0.5,16.25,0.667
36582,0,12,0,4,1,F,21,0.0,15,49,241,1,20.0,,20.0,20.0,0.143,20.0,0.333
124666,0,42,8,4,1,F,16,20.0,56,74,277,3,104.0,3.0,25.0,20.0,0.136,13.0,0.182
81692,0,27,1,4,3,F,15,4.0,67,8,83,3,62.0,,6.0,0.0,0.167,4.13,0.0
147119,0,24,0,6,4,F,18,5.0,33,66,428,5,43.0,,10.0,7.5,0.238,7.17,0.4
84116,0,12,4,5,1,M,17,5.0,78,70,566,4,136.0,9.0,10.0,8.5,0.2,6.18,0.2
163178,0,02,1,5,2,F,20,8.0,72,87,430,2,111.0,6.0,11.0,0.0,0.111,7.93,0.0
42940,0,34,1,5,3,F,21,6.0,29,76,704,3,83.0,,11.0,10.33,0.3,9.22,0.6
155642,1,25,1,6,2,U,17,8.0,45,13,176,5,90.0,1.0,13.0,10.67,0.227,9.0,0.273
101876,0,24,1,5,4,M,15,2.0,80,93,389,14,162.0,8.0,5.0,3.88,0.7,3.52,0.727
157934,0,14,0,6,1,F,23,20.0,31,91,671,2,41.0,,25.0,25.0,0.111,13.67,0.143
60581,0,21,0,6,2,M,19,15.0,48,78,380,4,105.0,1.0,25.0,20.0,0.182,13.13,0.091
136645,1,21,0,6,3,U,16,11.0,66,25,199,4,108.0,,15.0,11.33,0.2,9.0,0.273
97705,0,24,4,4,1,F,23,8.0,62,90,513,3,156.0,8.0,13.0,10.0,0.15,8.67,0.222
74247,0,53,1,6,3,F,17,7.0,63,91,232,5,106.0,1.0,12.0,10.75,0.313,8.15,0.444
103989,0,44,0,5,2,F,21,10.0,22,83,332,2,30.0,,20.0,15.0,0.154,15.0,0.286
23551,0,12,0,5,2,F,16,20.0,44,85,393,2,101.0,9.0,25.0,16.0,0.111,12.63,0.125
49521,0,16,0,4,1,M,26,15.0,54,76,300,2,117.0,7.0,25.0,0.0,0.105,16.71,0.0
39070,0,33,0,6,1,M,18,5.0,37,89,457,1,65.0,4.0,25.0,0.0,0.071,21.67,0.0
106900,0,17,0,4,1,F,23,15.0,21,45,327,2,25.0,,20.0,12.5,0.167,12.5,0.4
191131,0,51,1,6,3,M,21,6.0,48,85,217,5,92.0,3.0,10.0,9.67,0.238,6.57,0.273
18817,0,51,0,6,3,F,17,6.0,28,85,246,4,30.0,,10.0,7.5,0.25,6.0,0.286
61353,0,32,0,4,1,F,16,0.0,13,74,202,1,15.0,,15.0,0.0,0.2,15.0,0.0
80036,0,44,1,6,2,F,24,3.0,63,84,313,5,148.0,7.0,13.0,11.4,0.238,11.38,0.455
145323,0,01,0,4,1,F,17,0.0,13,12,397,1,16.0,,16.0,16.0,0.2,16.0,0.5
62901,0,31,0,6,4,F,15,7.0,30,23,69,5,58.0,,12.0,10.5,0.294,9.67,0.25
41715,1,09,0,6,4,U,18,3.0,35,83,272,7,33.0,,5.0,3.0,0.368,3.3,0.222
181167,0,26,0,6,1,M,20,15.0,29,63,319,1,35.0,,25.0,0.0,0.067,17.5,0.0
19608,0,12,7,6,2,F,18,8.0,77,92,422,4,119.0,8.0,13.0,9.33,0.182,7.0,0.273
185698,1,14,0,8,1,M,10,15.0,33,89,517,2,45.0,,25.0,17.5,0.143,15.0,0.286
27174,0,11,0,4,1,M,20,0.0,15,88,539,1,20.0,,20.0,0.0,0.143,20.0,0.0
68016,0,10,0,4,1,M,26,15.0,33,78,281,1,32.0,,20.0,0.0,0.091,10.67,0.0
172854,0,26,0,6,1,F,18,32.0,82,63,298,2,306.0,1.0,37.0,0.0,0.091,23.54,0.0
154531,1,37,1,5,3,F,23,4.0,66,64,158,7,177.0,0.0,7.0,5.0,0.333,5.06,0.6
41936,1,05,0,4,3,U,18,10.0,37,92,471,5,130.0,6.0,20.0,13.33,0.333,14.44,0.429
65073,1,18,0,5,1,M,22,23.0,66,94,490,2,145.0,8.0,25.0,10.0,0.105,9.67,0.125
135900,0,18,0,6,1,U,18,13.0,66,61,302,3,120.0,5.0,18.0,16.5,0.136,12.0,0.182
113838,1,53,1,3,3,F,17,3.0,60,71,150,4,114.0,,8.0,8.0,0.308,6.33,0.6
126494,0,37,1,6,3,F,20,16.0,75,93,180,5,203.0,9.0,20.0,10.0,0.227,8.83,0.182
148712,0,08,0,6,4,U,18,18.0,56,59,267,8,248.0,4.0,23.0,13.75,0.364,13.05,0.364
116353,0,34,1,6,3,F,15,7.0,46,74,449,3,56.0,8.0,10.0,8.0,0.167,6.22,0.143
159310,0,35,0,6,1,F,17,20.0,49,77,945,2,85.0,9.0,25.0,17.5,0.118,17.0,0.25
90714,0,02,0,5,2,F,15,10.0,24,82,624,3,42.0,,20.0,10.0,0.231,14.0,0.167
43748,0,28,0,2,1,F,25,30.0,38,73,328,1,205.0,,50.0,0.0,0.125,34.17,0.0
189493,0,40,0,11,2,F,6,45.0,55,69,384,7,175.0,,50.0,14.5,0.438,17.5,0.5
169722,1,25,0,4,1,F,23,0.0,15,36,301,0,25.0,,25.0,0.0,0.0,25.0,0.0
33680,0,43,0,5,1,M,17,0.0,14,75,178,1,20.0,,20.0,20.0,0.2,20.0,0.5
139227,1,39,0,5,2,U,15,18.0,72,87,268,6,136.0,,20.0,6.0,0.316,6.8,0.333
25290,0,40,0,6,2,F,18,9.0,66,91,543,3,165.0,8.0,14.0,12.0,0.167,10.31,0.125
161760,1,41,0,3,1,F,15,0.0,10,81,578,1,35.0,,35.0,35.0,0.5,35.0,1.0
11459,1,40,1,6,4,M,17,7.93,88,62,371,7,142.07,,8.0,5.0,0.368,5.26,0.455
107316,0,36,1,4,4,F,15,5.0,49,61,192,7,123.0,5.0,7.0,5.0,0.438,4.1,0.375
43862,0,29,1,6,2,F,18,10.0,82,82,262,5,152.0,4.0,12.0,10.0,0.227,5.63,0.182
114909,1,36,0,6,3,M,16,6.0,27,69,452,4,45.0,,11.0,9.67,0.286,9.0,0.375
177055,0,44,0,6,1,M,20,45.0,39,11,198,1,113.0,9.0,50.0,28.0,0.053,28.25,0.111
154508,0,43,0,5,1,F,26,10.0,49,65,334,1,70.0,1.0,20.0,0.0,0.05,14.0,0.0
84248,0,43,11,5,1,F,18,7.0,70,75,217,1,119.0,0.0,12.0,0.0,0.053,8.5,0.0
132479,0,49,0,5,3,F,15,6.0,18,72,290,3,26.0,,11.0,11.0,0.429,8.67,0.333
72726,0,51,5,6,1,M,23,17.0,74,94,272,2,164.0,4.0,20.0,20.0,0.095,10.25,0.1
41783,0,23,0,6,4,F,17,5.0,29,72,354,5,45.0,,10.0,7.25,0.313,7.5,0.5
39612,0,21,0,4,1,M,17,15.0,36,85,371,1,40.0,6.0,20.0,20.0,0.077,10.0,0.167
175700,0,11,0,5,1,U,19,12.0,65,70,361,1,96.0,8.0,15.0,0.0,0.056,8.73,0.0
142638,0,10,0,5,1,U,16,0.0,13,0,113,1,20.0,,20.0,0.0,0.25,20.0,0.0
48807,0,32,0,6,4,M,16,5.0,26,82,285,7,46.0,,10.0,7.33,0.467,6.57,0.429
155550,0,27,7,5,1,F,18,9.0,73,30,287,3,148.0,2.0,12.0,8.0,0.143,7.05,0.1
129158,0,21,0,5,1,F,18,17.0,70,80,248,2,145.0,4.0,22.0,10.0,0.118,13.18,0.143
27366,1,44,1,6,2,M,17,9.0,75,86,334,4,134.0,8.0,12.0,10.75,0.25,6.38,0.444
185216,0,08,0,12,3,M,4,5.0,67,32,152,5,110.0,0.0,10.0,10.0,0.278,9.17,0.25
191550,0, .,3,9,1,M,5,20.0,82,97,419,3,175.0,7.0,25.0,18.5,0.15,11.67,0.222
153871,0,11,0,4,1,F,16,0.0,13,79,609,1,15.0,,15.0,0.0,0.2,15.0,0.0
156288,0,40,0,4,1,F,20,10.0,66,81,200,1,124.0,7.0,20.0,0.0,0.083,17.71,0.0
162804,0,03,0,6,4,F,18,0.0,24,52,562,4,50.0,,10.0,10.0,0.308,10.0,0.429
85438,0,49,0,6,1,F,20,11.0,45,93,291,2,78.0,1.0,16.0,0.0,0.105,11.14,0.0
81198,0,51,7,6,1,F,24,15.0,74,76,175,1,260.0,0.0,25.0,20.0,0.053,15.29,0.111
1975,0,46,0,8,3,M,15,6.0,42,82,244,4,48.0,,16.0,13.0,0.308,12.0,0.333
75396,0,53,0,5,1,M,26,24.0,65,75,230,2,64.0,,25.0,5.0,0.095,5.33,0.1
99644,0,12,1,6,2,F,19,8.0,75,75,457,3,75.0,8.0,10.0,7.5,0.143,4.41,0.2
157687,1,35,0,6,1,F,18,10.0,56,94,1106,3,67.0,,15.0,15.0,0.15,7.44,0.111
159178,1,24,1,6,2,M,19,10.0,61,93,695,4,106.0,9.0,15.0,10.5,0.19,8.83,0.182
139135,0,51,0,5,3,F,15,7.0,18,86,65,2,18.0,,10.0,3.0,0.222,6.0,0.25
114049,0,36,0,6,4,F,15,9.0,24,62,279,5,50.0,,14.0,10.0,0.385,10.0,0.5
25221,0,24,0,6,1,M,18,215.0,62,71,373,0,375.0,8.0,225.0,0.0,0.0,62.5,0.0
34591,1,18,0,6,4,M,15,16.0,69,83,413,8,295.0,7.0,26.0,19.2,0.4,19.67,0.5
85309,0,49,0,4,1,M,16,5.0,22,77,296,2,25.0,,15.0,12.5,0.154,12.5,0.333
124904,0,43,0,4,1,F,18,6.0,30,83,200,2,38.0,,16.0,12.0,0.118,12.67,0.143
108905,1,24,0,6,3,F,18,15.0,61,74,368,6,238.0,9.0,20.0,13.5,0.273,12.53,0.182
167777,0,11,0,5,1,M,17,0.0,14,70,429,1,20.0,,20.0,20.0,0.2,20.0,0.5
