CONTROL_NUMBER,DONATED,CLUSTER_CODE,MOR_HIT_RATE,MEDIAN_HOME_VALUE,PUBLISHED_PHONE,INCOME_GROUP,IN_HOUSE,DONOR_GENDER,LIFETIME_CARD_PROM,SES,DONOR_AGE,LIFETIME_MAX_GIFT_AMT,MONTHS_SINCE_LAST_GIFT,LIFETIME_GIFT_RANGE,PCT_ATTRIBUTE3,FILE_CARD_GIFT,RECENCY_STATUS_96NK,MONTHS_SINCE_FIRST_GIFT,PCT_ATTRIBUTE4
3819,0,25,0,884,1,7.0,1,F,25,2,43.0,15.0,20,10.0,27,8,A,125,28
156674,1,14,0,3469,1,,0,F,32,1,50.0,50.0,22,45.0,17,12,S,122,9
125999,1,41,15,281,0,3.0,0,F,24,3,40.0,20.0,21,15.0,25,11,A,75,55
174293,0,49,3,640,1,4.0,0,M,27,2,56.0,10.0,17,7.0,29,9,S,113,29
104843,0,14,0,1219,0,5.0,0,F,15,1,,12.0,15,7.0,24,1,S,52,44
182763,0,49,0,844,0,2.0,0,F,11,2,71.0,20.0,20,5.0,46,3,A,29,30
54946,0,35,13,755,1,4.0,0,F,18,1,35.0,11.0,24,3.0,10,7,S,52,42
65424,0,13,13,953,1,6.0,0,F,14,1,,15.0,16,10.0,18,3,A,42,83
124251,0,32,0,329,0,1.0,0,M,6,3,49.0,23.0,16,0.0,27,1,F,16,37
138107,0,26,3,912,1,4.0,0,M,31,2,75.0,21.0,19,20.0,20,6,A,125,78
112943,1,35,0,855,0,6.0,0,F,33,1,61.0,18.0,19,16.0,29,25,S,129,40
82610,1,18,0,280,0,,0,U,13,2,74.0,6.0,16,3.0,44,10,S,57,29
160293,0,27,0,723,0,,0,F,20,2,,20.0,24,10.0,45,7,A,75,13
155799,0,28,1,1200,1,4.0,0,F,8,2,40.0,15.0,20,10.0,30,3,A,28,47
111774,0,38,10,490,1,2.0,0,M,25,2,78.0,11.0,18,8.0,37,7,S,81,41
120503,0,45,0,377,0,,0,M,29,2,67.0,10.0,15,7.0,22,17,A,129,50
88792,0,14,1,1565,1,3.0,0,M,26,1,48.0,25.0,16,20.0,60,5,A,105,23
20035,0,38,0,599,0,2.0,0,M,6,2,75.0,20.0,20,0.0,61,1,F,20,13
28596,0,11,9,1709,0,7.0,0,M,14,1,74.0,20.0,19,15.0,22,2,A,40,43
10162,0,27,17,702,1,2.0,0,F,22,2,69.0,16.0,7,16.0,56,3,A,90,16
148876,1,27,1,2201,1,7.0,0,F,29,2,57.0,8.0,17,5.0,43,13,S,123,16
21335,1,36,4,525,1,4.0,0,M,25,2,,10.0,20,5.0,33,8,S,126,26
43052,1,23,0,2038,1,,0,F,17,1,43.0,15.0,18,12.0,13,5,A,64,68
2159,1,49,0,198,1,3.0,1,F,34,2,78.0,17.0,5,14.0,27,11,A,105,36
129745,0,17,1,675,1,1.0,0,F,8,2,71.0,15.0,15,5.0,24,1,N,24,7
24150,0,26,0,914,0,2.0,0,F,13,2,79.0,50.0,24,25.0,16,3,A,40,55
6757,0,11,0,755,0,5.0,1,F,31,1,76.0,15.0,6,10.0,24,6,A,91,38
13424,0,12,0,961,0,,1,F,25,1,,15.0,18,12.0,32,10,S,74,34
122178,0,30,9,295,1,4.0,0,M,21,3,40.0,20.0,20,15.0,42,2,A,56,11
23730,0,39,11,547,1,5.0,0,M,22,2,53.0,40.0,21,30.0,30,6,A,72,28
35650,0,35,0,2305,0,6.0,0,F,6,1,73.0,15.0,23,0.0,47,1,N,23,33
160369,0,23,1,2668,1,2.0,0,F,30,1,71.0,40.0,17,33.0,12,10,A,125,59
186014,1,53,0,394,1,2.0,1,M,26,3,73.0,7.0,9,4.0,99,7,A,105,0
21133,1,46,0,863,0,,0,F,15,2,,10.0,15,6.0,35,4,S,40,33
187769,1,13,0,5059,0,,0,M,10,1,43.0,15.0,16,5.0,0,11,E,56,69
97774,1,36,0,470,0,5.0,0,F,20,2,45.0,31.0,18,28.0,29,4,A,53,34
45982,1,36,12,607,1,4.0,0,F,20,2,,15.0,18,11.0,33,4,A,120,21
57870,0,10,8,203,1,2.0,0,M,16,4,52.0,20.0,19,17.0,25,2,S,43,25
74882,0,46,0,614,0,4.0,0,F,4,2,29.0,30.0,15,0.0,35,1,E,15,29
82235,0,24,0,1178,1,4.0,0,M,20,1,34.0,10.0,18,5.0,49,5,A,57,6
173171,0,51,0,466,0,,0,F,15,3,,30.0,18,20.0,0,3,A,52,0
115346,1,51,0,251,0,5.0,0,F,17,3,55.0,15.0,24,10.0,28,4,A,52,33
97538,0,36,0,405,1,2.0,0,M,12,2,,20.0,24,12.0,27,4,A,45,32
141736,0,18,0,1383,0,5.0,0,F,25,2,83.0,12.0,22,9.0,29,13,S,105,43
8156,0,31,3,660,1,1.0,0,F,18,3,,18.0,27,13.0,14,2,A,79,49
15066,1,51,0,444,0,7.0,0,F,31,3,51.0,12.0,19,7.0,29,10,S,111,34
104442,1,14,0,2172,0,5.0,0,F,23,1,51.0,35.0,19,25.0,26,3,A,74,12
70863,1,45,2,494,1,7.0,0,M,27,2,79.0,16.0,18,13.0,31,9,A,130,39
90167,0,24,0,1082,1,5.0,0,M,14,1,41.0,10.0,18,5.0,61,3,A,41,10
101460,0,36,9,432,1,4.0,0,M,30,2,41.0,20.0,19,17.0,32,7,A,129,35
117383,1,16,1,0,0,5.0,0,F,5,2,49.0,15.0,16,0.0,35,0,F,16,47
84379,0,48,0,480,0,2.0,0,M,27,2,,10.0,17,9.5,13,13,A,129,57
115942,0,17,1,864,1,4.0,0,F,27,2,75.0,6.0,23,4.75,35,15,S,121,23
134516,0,06,0,639,0,,0,M,15,2,45.0,25.0,18,20.0,50,1,A,56,0
107328,0,46,0,317,0,3.0,0,M,6,2,,30.0,17,0.0,29,1,F,17,26
30624,0,32,5,347,0,1.0,0,F,6,3,,25.0,17,0.0,44,1,F,17,38
25221,0,24,0,1024,0,5.0,0,M,24,1,42.0,225.0,18,215.0,17,3,A,87,34
2964,0,43,0,292,1,2.0,1,M,27,2,,16.0,4,13.0,32,7,A,69,37
10819,0,40,0,756,0,,1,M,17,2,78.0,15.0,26,13.0,22,6,A,128,26
66479,0,21,0,314,0,1.0,0,M,5,3,51.0,15.0,21,0.0,23,1,F,21,33
51940,0,39,0,572,1,7.0,0,F,24,2,50.0,21.0,15,11.0,23,4,A,77,20
166902,0,35,3,2505,0,6.0,0,M,11,1,,25.0,20,15.0,38,3,A,29,42
13890,0,46,5,754,1,2.0,1,M,28,2,78.0,15.0,18,12.0,24,9,S,103,33
130554,1,18,12,663,1,4.0,0,F,24,2,43.0,20.0,18,17.0,35,9,S,127,20
72363,0,36,0,576,0,,0,F,20,2,59.0,18.0,18,16.0,26,6,S,77,33
61480,1,44,4,570,1,5.0,0,U,10,2,47.0,15.0,21,5.0,12,2,A,33,46
147641,1,20,0,2302,0,,0,F,20,2,84.0,11.0,19,6.0,20,10,S,75,52
98991,0,43,4,391,1,1.0,0,F,21,2,83.0,16.0,17,13.0,26,8,S,105,43
155642,1,25,0,1034,0,,0,U,18,2,,13.0,17,8.0,27,6,S,53,12
72596,0,49,10,626,1,2.0,0,M,31,2,67.0,17.0,26,15.0,31,10,A,124,19
173465,0,10,0,0,0,,0,U,18,4,,30.0,18,25.0,0,6,S,90,0
74095,0,46,0,775,0,3.0,0,M,31,2,61.0,25.0,18,20.0,19,8,S,115,50
156483,0,09,0,1463,0,4.0,0,M,27,3,49.0,15.0,18,12.0,20,6,A,113,50
100265,0,12,0,885,0,3.0,0,F,14,1,49.0,12.0,19,9.0,32,3,S,35,50
59644,0,12,0,955,0,1.0,0,F,15,1,79.0,20.0,21,10.0,44,3,A,41,22
132142,0,46,0,508,0,,0,F,17,2,,16.0,18,6.0,39,1,A,67,51
153593,0,22,0,2200,0,,0,U,30,1,,30.0,24,25.0,13,4,A,111,77
147956,1,09,11,2481,1,5.0,0,F,12,3,53.0,15.0,15,10.0,15,3,A,53,36
174426,0, .,0,839,1,4.0,0,F,17,?,50.0,20.0,19,10.0,0,3,A,45,0
66187,1,16,0,701,0,2.0,0,F,8,2,,20.0,16,10.0,5,1,N,20,30
123969,0,27,15,381,1,5.0,0,M,24,2,,10.0,18,7.0,31,6,A,105,41
181644,1,30,0,929,1,,0,F,16,3,40.0,12.0,16,7.0,34,5,S,44,31
