CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_MIN_GIFT_AMT,SES,LIFETIME_PROM,PCT_ATTRIBUTE1,LIFETIME_AVG_GIFT_AMT,NUMBER_PROM_12,RECENT_AVG_CARD_GIFT_AMT,LAST_GIFT_AMT,RECENCY_STATUS_96NK,RECENT_RESPONSE_COUNT,FILE_AVG_GIFT,LIFETIME_CARD_PROM,PCT_ATTRIBUTE4,PER_CAPITA_INCOME,DONOR_GENDER,PEP_STAR,MEDIAN_HOME_VALUE
71078,1,38,6.0,2,38,0,10.18,13,12.0,11.0,A,5,10.18,16,17,14473,F,1,562
161741,0,35,5.0,1,25,0,7.75,13,7.0,10.0,A,4,7.75,10,47,12011,M,0,1658
148993,0,22,3.0,1,53,0,10.13,13,17.0,17.0,A,2,10.13,22,22,21667,F,0,1953
167631,1,22,15.0,1,15,0,15.0,10,0.0,15.0,F,1,15.0,6,20,18137,F,0,2554
85039,0,46,1.0,2,68,0,2.01,14,2.25,1.0,S,7,2.01,30,40,12368,F,1,512
25576,1,11,3.0,1,34,1,7.82,6,0.0,15.0,A,1,7.82,13,49,19960,M,1,1201
33982,0,27,25.0,2,87,6,38.21,15,40.0,25.0,S,2,38.21,35,23,15046,M,1,772
116669,1,18,5.0,2,35,0,5.8,13,7.0,7.0,A,3,5.8,13,27,9449,M,0,444
54276,0, .,3.0,?,59,0,7.09,12,10.0,9.0,A,2,7.09,27,0,12311,M,0,608
39168,0,29,3.0,2,35,0,5.14,11,6.0,5.0,A,3,5.14,14,81,14013,U,0,858
155468,0,27,5.0,2,67,0,12.4,13,15.0,17.0,S,4,12.4,28,22,15228,F,1,1829
42776,1,23,10.0,1,28,0,14.0,12,14.0,17.0,A,3,14.0,12,58,21226,M,0,1385
69745,0,44,3.0,2,67,0,9.93,9,0.0,12.0,A,1,9.93,25,22,14114,F,1,656
18283,0,31,3.0,3,46,0,8.78,9,9.5,12.0,A,4,8.78,17,0,4648,M,0,322
121552,1,01,15.0,1,13,0,15.0,8,15.0,15.0,F,1,15.0,5,33,47349,M,0,1979
105146,0,35,10.0,1,42,1,18.75,10,0.0,25.0,A,1,18.75,18,24,16497,F,1,859
32210,0,26,5.0,2,54,2,31.0,12,0.0,50.0,A,1,31.0,21,34,20119,M,1,771
149470,0,15,15.0,1,46,0,15.5,11,15.0,17.0,A,2,15.5,18,38,24523,F,0,3825
66296,0,21,1.0,3,43,0,2.07,13,2.4,1.0,S,7,2.07,17,0,13765,F,1,585
190099,0,12,10.0,1,11,0,12.0,4,13.0,16.0,E,2,12.0,6,25,14436,M,0,1503
43532,0,10,5.0,4,64,0,14.92,12,22.0,26.0,A,3,14.92,26,0,0,M,1,0
158843,1,40,10.0,2,21,0,10.67,11,11.0,12.0,N,3,10.67,10,24,10775,F,0,1905
132458,0,42,25.0,1,18,0,25.0,10,25.0,25.0,N,1,25.0,7,35,10858,M,0,498
22622,0,40,5.0,2,82,0,12.53,15,15.0,18.0,A,2,12.53,32,17,14735,F,1,710
98331,0,31,3.0,3,41,0,10.0,13,0.0,25.0,A,1,10.0,16,60,9530,F,0,425
148991,1,22,10.0,1,52,0,19.4,13,0.0,25.0,A,2,19.4,20,22,28817,F,0,3209
30085,0,49,20.0,2,16,0,20.0,8,20.0,20.0,N,1,20.0,6,27,13669,F,0,574
57669,0,13,5.0,1,39,0,8.33,14,11.0,11.0,A,5,8.33,18,23,19021,F,0,1202
33911,0,34,5.0,1,58,6,11.14,13,16.0,17.0,A,2,11.14,26,64,17475,M,0,1052
114321,1,40,5.0,2,35,1,15.0,14,18.67,20.0,A,5,15.0,13,21,14451,M,0,737
117248,0,13,5.0,1,37,0,10.4,14,12.5,12.0,A,3,10.4,14,45,9335,M,0,436
40180,0,36,10.0,2,79,2,13.21,14,12.5,17.0,S,5,13.21,32,47,13105,M,1,849
175253,0,49,5.0,2,76,0,22.16,12,0.0,25.0,A,1,22.16,30,30,12532,F,1,638
