CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_CARD_RESPONSE_COUNT,RECENT_RESPONSE_PROP,MONTHS_SINCE_FIRST_GIFT,LIFETIME_CARD_PROM,IN_HOUSE,HOME_OWNER,MEDIAN_HOUSEHOLD_INCOME,RECENT_RESPONSE_COUNT,PCT_ATTRIBUTE4,LIFETIME_GIFT_COUNT,RECENT_AVG_CARD_GIFT_AMT,LIFETIME_GIFT_RANGE,PUBLISHED_PHONE,LIFETIME_AVG_GIFT_AMT,PEP_STAR,LIFETIME_MAX_GIFT_AMT,LIFETIME_GIFT_AMOUNT
96997,0,24,2,0.231,29,10,0,U,498,3,50,3,27.5,45.0,0,35.0,1,50.0,105.0
166639,0,11,0,0.0,22,6,0,H,601,0,0,1,0.0,0.0,0,25.0,0,25.0,25.0
99246,1,50,1,0.143,112,34,0,U,171,3,55,15,20.0,17.0,1,10.27,1,20.0,154.0
189494,0,39,1,0.182,93,28,0,U,314,4,17,12,27.0,40.0,0,25.92,1,50.0,311.0
4208,0,10,0,0.056,77,22,1,U,413,1,11,6,0.0,75.0,1,56.17,0,100.0,337.0
164923,0,13,2,0.15,53,19,0,H,464,3,33,6,13.5,20.0,1,12.83,1,25.0,77.0
62613,0,30,2,0.294,33,11,0,U,183,5,37,5,6.5,7.0,0,5.6,1,10.0,28.0
169988,0,34,4,0.385,29,10,0,H,413,5,56,5,6.0,2.0,0,6.2,1,7.0,31.0
154090,0,29,1,0.227,125,31,0,H,353,5,72,10,30.0,25.0,0,23.0,1,30.0,230.0
35653,0,12,4,0.333,33,12,0,H,578,5,25,6,8.5,6.0,1,9.0,0,11.0,54.0
152737,1,12,6,0.529,87,26,0,H,456,9,14,17,7.0,20.0,0,8.94,1,25.0,152.0
7563,0,11,1,0.1,76,23,1,U,510,2,24,23,10.0,5.0,1,7.04,1,10.0,162.0
125894,0,12,5,0.3,36,14,0,U,430,6,38,9,17.0,17.5,0,16.39,1,25.0,147.5
36809,1,17,1,0.273,127,12,0,H,515,3,37,15,5.0,5.0,0,4.27,1,7.0,64.0
186482,1,18,1,0.188,105,26,0,H,410,3,15,12,10.0,8.0,1,7.83,1,11.0,94.0
43041,0,37,0,0.095,105,26,0,H,203,2,72,8,0.0,20.0,0,13.38,1,25.0,107.0
185935,0,01,0,0.182,57,23,0,U,354,4,0,15,0.0,30.0,0,23.0,1,40.0,345.0
1074,0,44,1,0.111,60,24,0,U,333,2,20,7,14.0,10.0,1,11.57,0,15.0,81.0
74727,0,36,1,0.15,69,20,0,H,207,3,48,10,12.0,9.0,1,7.7,1,12.0,77.0
62240,0,11,3,0.211,113,30,0,H,342,4,50,17,13.0,12.0,0,10.12,1,15.0,172.0
2384,0,39,2,0.455,79,20,0,H,327,5,7,8,17.5,17.0,1,10.25,1,20.0,82.0
163892,0,03,1,0.105,124,29,0,U,418,2,50,19,10.0,6.0,1,7.53,1,11.0,143.0
104541,0,44,2,0.19,44,14,0,H,330,4,30,5,20.0,15.0,0,15.0,0,20.0,75.0
1970,0,40,4,0.273,102,31,0,U,408,6,21,16,6.75,8.0,0,5.0,1,10.0,80.0
42292,0,37,5,0.333,128,32,0,H,498,6,40,26,6.8,8.0,0,4.62,1,10.0,120.0
92332,0,24,6,0.3,130,33,0,U,591,6,38,24,12.0,8.0,0,9.33,1,13.0,224.0
17590,0,35,1,0.067,105,26,0,H,649,1,12,11,30.0,20.0,1,19.55,1,30.0,215.0
