CONTROL_NUMBER,DONATED,CLUSTER_CODE,MONTHS_SINCE_LAST_PROM_RESP,FILE_AVG_GIFT,LIFETIME_GIFT_AMOUNT,IN_HOUSE,SES,PUBLISHED_PHONE,OVERLAY_SOURCE,RECENCY_STATUS_96NK,RECENT_RESPONSE_COUNT,MEDIAN_HOUSEHOLD_INCOME,LAST_GIFT_AMT,MONTHS_SINCE_ORIGIN,DONOR_AGE,PCT_OWNER_OCCUPIED,WEALTH_RATING,MONTHS_SINCE_LAST_GIFT,DONOR_GENDER
131186,0,40,16.0,20.0,20.0,0,2,1,B,F,1,425,20.0,17,56.0,71,,16,M
114552,0,26,21.0,11.0,99.0,0,2,0,N,A,1,223,15.0,101,77.0,52,8.0,21,F
172292,0, .,16.0,10.25,205.0,0,?,0,N,S,2,0,15.0,101,,17,,16,M
28152,0,13,18.0,8.4,42.01,0,1,1,P,A,1,425,20.0,137,83.0,86,9.0,18,F
123909,1,27,18.0,4.65,107.0,0,2,1,B,S,5,413,5.0,137,65.0,85,7.0,18,M
114760,0,24,25.0,13.0,26.0,0,1,1,B,A,1,600,16.0,65,63.0,92,9.0,25,F
80300,0,46,18.0,7.54,98.0,0,2,1,B,A,6,228,10.0,89,80.0,77,,18,M
60334,0,17,16.0,17.5,35.0,0,2,1,B,N,2,296,25.0,17,79.0,47,,16,F
3952,0,13,16.0,10.27,452.0,1,1,1,B,A,5,614,16.0,137,,84,9.0,16,U
45520,0,36,20.0,11.67,35.0,0,2,0,B,A,2,264,20.0,41,,85,,20,F
105641,0,36,18.0,8.0,88.0,0,2,0,N,A,3,259,12.0,65,86.0,68,5.0,18,M
25604,0,11,19.0,28.0,168.0,0,1,1,N,A,3,518,32.0,41,,75,6.0,19,F
18326,0,39,21.0,8.38,134.0,0,2,0,P,A,4,312,8.0,77,39.0,84,,21,F
54259,1, .,16.0,10.0,30.0,0,?,1,P,N,3,219,10.0,29,65.0,65,,16,M
188734,1,39,17.0,5.38,86.0,0,2,1,B,E,5,269,5.0,65,,0,1.0,17,U
68589,1,13,16.0,13.57,95.0,0,1,1,B,A,3,777,18.0,65,68.0,97,9.0,16,M
74782,0,22,15.0,4.31,56.0,0,1,0,N,A,4,273,5.0,137,,53,,15,F
85436,0,51,15.0,10.0,40.0,0,3,1,N,A,2,221,15.0,53,,86,1.0,15,M
116588,0,53,15.0,9.85,197.0,0,3,0,N,S,4,200,11.0,101,73.0,78,3.0,15,M
5813,0,29,18.0,9.46,227.0,1,2,0,N,S,7,259,15.0,101,86.0,87,5.0,18,F
104401,1,22,22.0,10.36,145.0,0,1,1,P,A,2,270,15.0,113,70.0,48,8.0,22,F
179944,0,03,,30.86,216.0,0,1,1,B,A,0,312,25.0,89,41.0,53,3.0,18,F
153681,0,17,19.0,5.35,166.0,0,2,0,N,S,4,106,5.0,137,61.0,6,9.0,19,F
151902,1,28,15.0,7.29,51.0,0,2,0,P,A,5,278,10.0,29,47.0,75,,15,M
3706,0,36,19.0,7.33,176.0,1,2,1,B,A,3,238,8.0,137,,67,3.0,4,F
56525,0,25,16.0,10.0,100.0,0,2,1,B,A,6,207,12.0,41,61.0,25,3.0,16,M
32843,1,30,18.0,15.0,30.0,0,3,1,B,A,1,283,15.0,41,38.0,73,,18,M
16076,0,42,24.0,24.0,120.0,0,1,0,P,A,2,215,30.0,65,51.0,68,2.0,24,M
126513,0,52,16.0,4.55,50.0,0,3,1,M,S,6,204,11.0,41,,79,,16,M
150684,1, .,18.0,17.67,159.0,0,?,0,N,A,3,366,32.0,113,,68,6.0,18,M
96169,0,38,16.0,8.67,26.0,0,2,0,N,N,3,255,11.0,29,78.0,46,,16,U
108348,0,22,18.0,16.67,50.0,0,1,1,B,A,1,210,20.0,41,71.0,43,9.0,18,F
52619,0,53,19.0,14.5,58.0,0,3,1,B,A,3,163,20.0,41,,68,,19,M
187501,1,34,18.0,5.75,23.0,0,1,0,N,E,3,299,5.0,41,,1,,18,F
172702,1,37,15.0,10.0,30.0,0,2,1,B,A,3,279,15.0,29,54.0,83,,15,F
136175,0,41,19.0,15.44,278.0,0,3,0,N,A,4,147,50.0,101,48.0,71,2.0,19,M
22592,0,35,18.0,5.67,34.0,0,1,1,B,S,6,400,5.0,29,37.0,78,,18,M
81108,0,25,19.0,4.72,118.0,0,2,1,B,S,8,263,5.0,113,,55,1.0,17,M
34306,0,22,16.0,9.22,83.0,0,1,1,B,A,2,104,16.0,89,57.0,10,3.0,16,F
129595,0,26,26.0,10.6,53.0,0,2,1,B,A,2,248,15.0,77,84.0,60,4.0,26,F
143610,1,03,16.0,15.0,15.0,0,1,0,N,F,1,569,15.0,17,,49,,16,F
10145,1,24,25.0,8.93,125.0,0,1,0,P,A,4,613,5.0,77,43.0,92,8.0,16,F
143279,0,06,19.0,15.0,30.0,0,2,0,B,A,2,434,20.0,29,,68,,19,F
2398,0,42,11.0,20.56,185.0,0,1,0,N,A,5,400,12.0,53,49.0,71,6.0,8,F
80100,0,53,26.0,5.58,106.0,0,3,1,B,A,2,176,12.0,101,35.0,75,0.0,26,F
105294,0,53,21.0,7.0,42.0,0,3,1,P,S,5,209,4.0,29,,80,,19,M
84974,0,43,21.0,6.33,171.0,0,2,1,B,A,4,236,10.0,113,54.0,64,2.0,21,F
49748,0,36,15.0,9.12,155.0,0,2,0,B,S,3,217,20.0,137,73.0,68,4.0,15,F
181092,0,44,21.0,7.5,120.0,0,2,1,B,A,1,388,10.0,137,56.0,90,6.0,21,M
69889,0,53,22.0,21.5,172.0,0,3,0,P,A,4,179,32.0,53,57.0,68,2.0,22,F
38075,0,19,15.0,33.0,231.0,0,2,0,N,A,5,0,31.0,53,,0,,15,F
38364,0,02,26.0,14.56,131.0,0,1,1,M,A,2,456,20.0,113,38.0,74,8.0,26,F
182112,0,31,19.0,7.33,44.0,0,3,1,B,A,4,186,10.0,29,27.0,33,,18,M
100391,0,24,20.0,3.31,43.0,0,1,1,B,S,8,431,3.0,41,35.0,97,,18,F
51382,1,39,18.0,10.67,64.0,0,2,1,B,A,1,311,20.0,65,,85,5.0,18,M
133505,0,28,26.0,11.35,522.0,0,2,1,P,A,4,144,20.0,137,77.0,46,3.0,26,U
55271,0,36,20.0,13.57,190.0,0,2,1,P,A,2,255,20.0,137,87.0,83,9.0,20,F
144990,0,03,16.0,8.0,32.0,0,1,1,B,A,1,558,15.0,65,33.0,49,,16,F
82870,0,12,22.0,13.0,52.0,0,1,1,B,A,2,457,21.0,65,52.0,71,7.0,22,M
917,0,11,20.0,9.7,194.0,0,1,0,B,A,3,395,10.0,101,47.0,48,7.0,20,M
160444,0,38,22.0,16.3,163.0,0,2,0,P,A,2,214,25.0,89,42.0,39,,22,F
155550,0,27,18.0,7.05,148.0,0,2,1,B,A,3,287,12.0,125,73.0,30,2.0,18,F
93917,0,10,24.0,16.25,195.0,0,4,1,B,A,3,239,20.0,125,78.0,49,3.0,24,F
41767,0,04,26.0,9.9,99.0,0,2,0,M,A,1,267,15.0,137,37.0,80,4.0,26,M
94239,1,04,15.0,10.0,40.0,0,2,0,P,A,4,250,10.0,29,,20,,15,F
52341,0,36,16.0,8.95,188.0,0,2,0,P,S,4,186,13.0,101,73.0,56,1.0,16,F
