CONTROL_NUMBER,DONATED,CLUSTER_CODE,RECENT_RESPONSE_COUNT,RECENCY_STATUS_96NK,LIFETIME_MIN_GIFT_AMT,LIFETIME_GIFT_COUNT,MONTHS_SINCE_LAST_GIFT,LIFETIME_CARD_PROM,LIFETIME_MAX_GIFT_AMT,RECENT_AVG_GIFT_AMT,LIFETIME_PROM,DONOR_AGE,MONTHS_SINCE_FIRST_GIFT,MONTHS_SINCE_LAST_PROM_RESP,URBANICITY,CARD_PROM_12,FILE_AVG_GIFT,LAST_GIFT_AMT,LIFETIME_AVG_GIFT_AMT
112370,0,40,5,S,2.0,19,16,30,6.0,4.6,66,76.0,130,16.0,T,6,3.89,4.0,3.89
57151,1,42,2,A,10.0,10,26,21,21.0,20.5,52,61.0,63,26.0,R,5,15.9,21.0,15.9
101303,0,51,4,A,5.0,26,17,35,15.0,12.25,82,73.0,127,17.0,R,6,8.92,15.0,8.92
21174,0,34,2,N,50.0,2,17,8,60.0,55.0,20,,21,17.0,T,6,55.0,60.0,55.0
25553,0,16,1,A,5.0,3,18,15,25.0,25.0,35,49.0,52,18.0,S,6,13.33,25.0,13.33
158153,1,02,1,N,15.0,1,24,6,15.0,15.0,15,81.0,24,24.0,U,3,15.0,15.0,15.0
130878,0,18,2,A,5.0,3,17,13,25.0,20.0,33,37.0,44,17.0,S,6,15.0,25.0,15.0
124616,0,52,5,S,5.0,8,15,16,15.0,11.8,43,68.0,53,15.0,R,6,9.88,15.0,9.88
53448,1,13,1,N,20.0,1,24,6,20.0,20.0,15,59.0,24,24.0,S,3,20.0,20.0,20.0
166796,0,17,2,N,10.0,2,21,9,16.0,13.0,21,38.0,24,21.0,S,6,13.0,16.0,13.0
172730,0,28,1,A,5.0,15,24,27,12.0,12.0,68,75.0,121,24.0,C,4,8.73,12.0,8.73
177716,0,45,2,A,5.0,3,24,14,20.0,20.0,32,,44,24.0,R,6,15.0,20.0,15.0
6643,1,24,3,A,10.0,10,7,20,20.0,13.33,70,75.0,91,17.0,C,5,14.7,15.0,14.7
66745,1, .,1,F,15.0,1,17,5,15.0,15.0,13,25.0,17,17.0,?,4,15.0,15.0,15.0
95348,0,35,5,A,3.0,17,16,21,15.0,7.8,57,82.0,104,16.0,T,6,6.47,15.0,6.47
187404,0,39,3,E,5.0,4,17,4,10.0,9.67,11,,29,17.0,T,1,8.5,9.0,8.5
150844,0,12,4,A,10.0,6,20,17,15.0,13.5,39,53.0,44,20.0,S,6,12.67,15.0,12.67
182748,1,28,2,A,5.0,13,18,21,25.0,10.0,50,72.0,124,18.0,C,4,13.31,10.0,13.31
111592,1,32,3,A,5.0,11,18,33,27.0,24.0,75,76.0,127,18.0,C,6,17.45,27.0,17.45
182840,0,46,1,A,5.0,7,24,21,36.0,36.0,53,67.0,68,24.0,R,6,16.86,36.0,16.86
95408,1,46,2,A,5.0,2,21,9,15.0,10.0,22,45.0,27,21.0,R,5,10.0,15.0,10.0
182325,1,26,3,A,5.0,4,19,10,11.0,8.67,25,,29,20.0,C,6,9.0,10.0,9.0
64522,1,46,5,S,3.0,7,23,15,10.0,9.6,37,61.0,44,23.0,R,6,8.0,10.0,8.0
4187,1,20,1,A,5.0,34,14,33,28.0,28.0,126,83.0,122,28.0,S,7,15.85,25.0,15.85
162321,0,13,4,S,1.0,12,16,23,20.0,9.0,53,69.0,81,16.0,S,6,6.17,20.0,6.17
159701,0,41,3,A,10.0,3,15,11,20.0,16.67,25,46.0,35,15.0,T,5,16.67,20.0,16.67
99159,0,41,2,A,3.0,17,22,33,25.0,22.5,74,67.0,123,22.0,T,6,9.65,25.0,9.65
183223,1,18,4,A,10.0,4,17,13,20.0,15.25,30,41.0,35,17.0,S,6,15.25,20.0,15.25
132903,1,45,1,E,10.0,6,15,17,19.0,19.0,50,35.0,67,15.0,R,2,15.0,19.0,15.0
75687,0,31,7,S,3.0,33,21,30,13.0,11.29,78,17.0,113,21.0,C,6,9.0,13.0,9.0
