CONTROL_NUMBER,DONATED,CLUSTER_CODE,LIFETIME_GIFT_AMOUNT,PCT_ATTRIBUTE4,FREQUENCY_STATUS_97NK,INCOME_GROUP,FILE_CARD_GIFT,MEDIAN_HOUSEHOLD_INCOME,RECENT_CARD_RESPONSE_PROP,MONTHS_SINCE_LAST_GIFT,WEALTH_RATING,PCT_OWNER_OCCUPIED,URBANICITY,RECENT_AVG_CARD_GIFT_AMT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_FIRST_GIFT,LIFETIME_GIFT_RANGE,RECENCY_STATUS_96NK,MOR_HIT_RATE
88361,0,13,66.0,22,2,,2,441,0.167,17,9.0,81,S,19.0,1,73,14.0,A,0
67658,0,10,20.0,0,1,6.0,1,118,0.5,17,,19,U,20.0,1,17,0.0,F,17
68794,0,18,48.0,50,3,3.0,3,455,0.5,16,,94,S,12.67,3,31,6.0,A,3
176380,1,24,30.0,41,1,7.0,2,459,0.25,25,,87,C,5.0,2,32,15.0,A,3
20631,1,40,81.0,27,2,3.0,6,311,0.333,15,,81,T,7.67,3,56,10.0,A,3
109539,1,36,206.0,43,1,5.0,11,271,0.0,21,6.0,69,T,0.0,0,129,15.0,A,4
186349,0,27,105.0,38,1,,3,268,0.2,9,0.0,70,C,26.5,2,45,32.0,A,0
22994,0,11,73.0,33,1,,3,533,0.2,16,9.0,73,S,18.5,2,56,15.0,A,0
149414,1,05,127.0,44,3,,9,714,0.25,16,9.0,90,U,9.5,2,65,6.0,S,0
67207,0,17,35.0,45,1,1.0,2,331,0.143,19,,17,S,15.0,1,44,10.0,A,0
169592,0,40,107.0,28,2,2.0,3,294,0.0,18,2.0,45,T,0.0,0,74,23.0,S,0
158454,1,04,158.0,25,4,4.0,6,506,0.5,15,2.0,59,U,15.8,5,65,13.0,A,0
162796,0,01,23.0,21,1,4.0,1,340,0.5,18,,9,U,23.0,1,18,0.0,F,0
13348,0,20,157.0,46,4,4.0,8,425,0.2,15,5.0,61,S,10.0,2,123,12.0,S,5
36139,0,24,60.0,20,3,,0,507,0.0,19,,79,C,0.0,0,31,15.0,A,0
640,0,31,180.0,45,1,,24,105,0.111,26,0.0,11,C,5.0,1,123,10.0,A,0
153024,0,27,105.5,28,4,,14,303,0.455,19,,42,C,3.3,5,113,7.5,A,0
77224,0,40,57.0,24,1,7.0,5,340,0.0,27,6.0,70,T,0.0,0,113,14.0,A,0
176269,0,35,40.0,20,3,4.0,1,502,0.143,18,,92,T,10.0,1,32,5.0,A,10
53268,0,01,308.0,0,1,1.0,19,231,0.429,24,8.0,27,U,12.0,3,123,13.0,A,0
24348,0,21,34.0,31,4,1.0,3,104,0.5,18,,40,S,5.67,3,32,2.0,A,1
124826,0,49,20.0,26,1,4.0,1,191,0.25,24,,68,R,20.0,1,24,0.0,N,0
25366,0,24,47.0,36,3,7.0,4,546,0.375,19,,96,C,10.67,3,40,7.0,A,8
83891,0,17,65.0,28,3,2.0,0,546,0.0,16,6.0,79,S,0.0,0,56,8.0,A,0
104260,0,36,156.0,37,4,1.0,12,215,0.273,18,4.0,57,T,8.0,3,110,5.0,S,1
155158,0,08,25.0,42,1,,0,329,0.0,15,,74,U,0.0,0,27,5.0,A,0
128857,1,30,26.0,24,1,3.0,1,213,0.5,16,,76,C,26.0,1,16,0.0,F,13
162228,1,01,40.0,44,1,,2,501,0.143,21,,44,U,20.0,1,40,10.0,A,0
87174,0,43,175.0,44,3,4.0,6,216,0.0,18,0.0,76,R,0.0,0,129,15.0,S,0
111233,0,51,20.0,40,1,1.0,1,334,0.5,17,,73,R,20.0,1,17,0.0,F,0
92954,0,01,144.0,32,3,7.0,14,440,0.4,16,9.0,53,U,6.0,4,110,7.0,S,15
4594,0,29,250.0,70,2,,5,257,0.222,5,4.0,89,C,22.5,2,64,29.0,S,0
32485,1,36,140.0,36,2,3.0,6,293,0.0,15,4.0,82,T,0.0,0,104,20.0,A,12
44441,0,45,147.0,46,2,3.0,4,218,0.091,18,2.0,86,R,15.0,1,67,11.0,S,0
188185,0,40,106.0,15,1,,10,324,0.25,25,,88,T,15.0,1,110,12.0,E,0
72597,0,42,15.0,46,1,2.0,0,416,0.0,20,,96,R,0.0,0,20,0.0,F,24
133873,0,39,40.0,32,4,2.0,4,212,0.167,18,,80,T,4.0,1,77,6.0,A,15
94397,0,09,91.0,18,4,,2,223,0.333,15,,35,U,15.0,2,28,6.0,A,0
116715,0,06,247.0,16,3,3.0,15,400,0.455,15,8.0,79,U,11.0,5,86,18.0,S,7
99161,0,36,153.0,41,1,1.0,6,200,0.0,25,2.0,74,T,0.0,0,130,27.0,A,0
176935,0,45,101.0,47,3,6.0,5,173,0.25,17,1.0,60,R,10.0,2,69,10.0,A,1
6885,0,17,215.0,16,3,5.0,4,303,0.273,8,5.0,48,S,18.33,3,45,15.0,A,5
120467,0,53,126.0,50,2,4.0,7,145,0.111,20,1.0,76,R,10.0,1,98,5.0,A,0
107316,0,36,123.0,24,4,1.0,12,192,0.375,15,5.0,61,T,5.0,3,100,5.0,S,10
170095,0,48,39.0,58,3,1.0,3,204,0.429,17,,72,R,9.67,3,32,8.0,A,0
184618,0,24,20.0,11,1,7.0,1,621,0.5,16,,60,C,20.0,1,16,0.0,F,7
176907,1,36,52.0,42,4,7.0,4,216,0.143,16,,62,T,6.0,1,81,3.0,A,0
5740,0,45,292.0,35,1,1.0,9,220,0.125,21,3.0,79,R,25.0,1,125,20.0,A,0
113509,0,25,76.0,5,3,2.0,5,242,0.143,20,,38,C,10.0,1,77,8.0,A,13
77898,1,16,45.0,38,1,5.0,4,367,0.0,18,5.0,89,S,0.0,0,92,10.0,A,19
105736,0,31,25.0,26,1,1.0,1,298,0.25,24,,78,C,25.0,1,24,0.0,N,2
38105,0,04,55.0,64,4,,7,426,0.286,17,6.0,93,U,3.5,2,112,2.0,S,0
368,1,02,247.0,41,1,6.0,22,485,0.444,19,7.0,84,U,8.75,4,129,5.0,A,1
52443,0,37,46.0,40,2,,3,289,0.333,20,,75,T,12.0,3,33,7.0,A,0
147386,0,12,141.0,42,1,5.0,5,496,0.0,18,8.0,74,S,0.0,0,128,15.0,A,0
60490,1,35,208.0,44,1,5.0,8,510,0.0,19,,94,T,0.0,0,113,43.0,A,2
14334,0,10,35.0,0,1,1.0,1,550,0.5,16,,84,U,20.0,1,18,5.0,F,0
145944,1,11,79.0,42,2,6.0,6,445,0.091,18,6.0,50,S,10.0,1,130,10.0,A,0
62349,1,17,90.0,19,2,5.0,3,273,0.375,22,,42,S,30.0,3,33,15.0,A,24
177487,0,37,15.0,42,1,5.0,0,0,0.0,19,,0,T,0.0,0,19,0.0,F,0
58154,0,51,76.0,37,3,,13,118,0.3,20,0.0,79,R,5.0,3,105,4.0,S,0
150497,1,14,35.0,27,1,7.0,0,708,0.0,15,,94,S,0.0,0,27,15.0,N,11
122208,0,24,114.0,8,4,7.0,12,685,0.5,21,,81,C,7.6,5,93,9.0,A,1
43052,1,23,73.0,68,3,,5,390,0.333,18,9.0,47,C,10.0,3,64,12.0,A,0
80763,1,45,15.0,35,1,3.0,1,223,0.5,17,,87,R,15.0,1,17,0.0,F,0
8245,0,40,70.0,11,2,5.0,2,342,0.125,24,7.0,85,T,20.0,1,81,15.0,A,0
3012,0,50,173.0,30,1,3.0,8,108,0.0,16,0.0,79,R,0.0,0,113,22.0,A,0
15473,0,38,38.0,35,1,3.0,3,280,0.4,24,6.0,61,T,14.0,2,57,6.0,A,3
73685,1,16,163.0,25,4,,12,255,0.111,18,4.0,72,S,10.0,1,130,7.0,S,0
113738,0,24,70.0,58,2,2.0,8,320,0.25,15,4.0,80,C,5.0,2,75,5.0,A,0
115334,0,41,75.0,0,2,,2,224,0.1,18,,55,T,15.0,1,42,11.0,A,0
96763,1,27,172.0,66,2,5.0,13,71,0.273,19,4.0,19,C,15.0,3,105,15.0,S,0
45878,1,33,46.0,0,1,,5,168,0.4,16,6.0,64,C,13.0,2,81,12.0,A,0
157769,0,19,20.0,26,1,,0,293,0.0,23,,29,S,0.0,0,23,0.0,N,0
97837,0,30,52.0,39,4,3.0,3,209,0.5,16,,73,C,8.67,3,29,15.0,A,0
113144,0,11,98.0,30,1,,4,359,0.091,26,9.0,61,S,25.0,1,68,20.0,A,0
169600,0,27,20.0,38,1,5.0,1,263,0.333,20,,76,C,20.0,1,20,0.0,F,5
70597,0,43,61.0,34,3,4.0,5,229,0.444,16,,91,R,11.25,4,41,9.0,A,0
185028,0,50,317.0,35,1,,12,186,0.222,24,0.0,83,R,15.0,2,88,20.0,A,0
21468,0,43,114.0,32,3,5.0,19,325,0.5,17,2.0,83,R,5.6,5,122,4.0,S,3
189705,0,29,47.0,74,1,,3,320,0.25,25,,67,C,15.0,1,41,10.0,E,0
44499,0,48,130.0,46,3,5.0,7,175,0.182,18,0.0,84,R,11.0,2,88,13.0,S,0
122795,0,40,35.0,20,1,4.0,0,393,0.0,19,,63,T,0.0,0,44,15.0,A,13
7296,0,41,567.0,34,1,2.0,10,197,0.091,6,2.0,57,T,25.0,1,119,25.0,A,3
45798,0,20,67.0,45,2,4.0,3,332,0.333,17,6.0,72,S,15.0,2,80,10.0,A,3
74547,0,43,42.0,20,4,2.0,2,232,0.125,19,,71,R,10.0,1,40,5.0,S,7
47626,0,49,85.0,35,3,,5,293,0.429,6,,79,R,10.33,3,81,11.0,N,0
69763,0,35,20.0,41,1,5.0,1,565,0.333,21,,82,T,20.0,1,21,0.0,F,0
109647,0,40,197.0,74,2,7.0,8,240,0.0,18,7.0,33,T,0.0,0,105,12.0,S,0
94237,0,09,45.0,19,1,,2,164,0.25,24,,9,U,17.5,2,29,10.0,A,0
36588,0,19,20.0,20,1,5.0,0,403,0.0,22,,92,S,0.0,0,22,0.0,N,8
2525,0,14,49.0,20,1,7.0,1,633,0.5,8,,96,S,9.0,1,20,17.0,F,1
189251,0,02,40.0,65,2,5.0,3,414,0.333,4,,73,U,10.0,2,40,10.0,A,0
161763,1,41,188.0,0,2,1.0,12,578,0.2,18,6.0,81,T,15.0,2,85,10.0,S,0
66276,0,21,294.0,18,4,2.0,19,237,0.5,17,4.0,82,S,7.4,5,128,12.0,S,0
54071,0,53,102.0,48,2,3.0,11,110,0.0,15,,56,R,0.0,0,127,22.0,S,0
159394,0,13,121.0,42,3,6.0,5,586,0.0,19,8.0,88,S,0.0,0,104,10.0,S,2
51057,0,43,47.0,29,1,2.0,0,225,0.0,15,5.0,85,R,0.0,0,52,5.0,E,0
93274,0,07,20.0,26,1,1.0,1,348,0.333,21,,46,U,20.0,1,21,0.0,F,0
167166,0,02,164.0,22,4,7.0,9,533,0.6,15,7.0,62,U,14.83,6,56,22.0,S,1
127082,0,25,25.0,34,1,4.0,1,190,0.167,19,,40,C,10.0,1,35,5.0,A,2
17646,0,22,117.0,6,2,3.0,4,377,0.0,15,9.0,57,C,0.0,0,89,15.0,A,10
12192,0,26,213.0,29,2,3.0,8,311,0.0,18,7.0,48,C,0.0,0,113,22.0,S,9
75422,0,45,83.0,33,4,1.0,8,235,0.222,18,2.0,79,R,5.0,2,117,23.0,S,0
149341,0,13,26.0,54,2,5.0,1,881,0.333,19,,95,S,20.0,1,21,14.0,N,0
49997,0,39,175.0,3,1,4.0,3,252,0.091,18,6.0,52,T,20.0,1,65,23.0,A,0
176603,0,51,25.0,23,2,6.0,2,280,0.333,23,,81,R,12.5,2,23,5.0,N,8
59680,0,40,192.0,14,1,2.0,12,422,0.1,21,6.0,82,T,15.0,1,104,10.0,A,0
162382,0,03,55.0,26,1,7.0,1,434,0.0,24,9.0,92,U,0.0,0,45,15.0,A,0
163139,0,06,67.0,46,2,4.0,3,401,0.0,17,5.0,83,U,0.0,0,68,10.0,A,0
163354,1,03,83.0,59,1,,4,748,0.0,19,5.0,88,U,0.0,0,113,25.0,A,0
67177,1,16,159.0,47,4,5.0,12,504,0.727,17,8.0,94,S,11.88,8,88,10.0,S,0
150870,0,21,20.0,22,1,4.0,1,245,0.5,17,,69,S,20.0,1,17,0.0,F,14
183925,0,46,91.0,40,1,5.0,3,258,0.111,18,,65,R,25.0,1,66,15.0,A,2
167538,1,07,46.0,31,1,,2,325,0.111,18,,54,U,11.0,1,41,10.0,A,0
153378,0,06,57.0,16,3,5.0,3,379,0.143,18,4.0,78,U,13.0,1,57,8.0,A,3
38186,0,08,15.0,32,1,4.0,0,311,0.0,25,,57,U,0.0,0,25,0.0,N,0
71862,0,39,58.0,42,3,1.0,6,261,0.444,15,2.0,83,T,10.0,4,45,7.0,S,0
99947,0,13,195.0,41,2,7.0,5,1339,0.364,17,9.0,97,S,25.0,4,63,20.0,S,13
22050,0,43,30.0,37,1,7.0,1,229,0.2,22,,80,R,20.0,1,31,10.0,A,0
46513,0,12,37.0,16,1,4.0,1,303,0.0,25,8.0,84,S,0.0,0,53,12.0,A,0
