CONTROL_NUMBER,DONATED,CLUSTER_CODE,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,FREQUENCY_STATUS_97NK,INCOME_GROUP,RECENT_CARD_RESPONSE_PROP,LIFETIME_CARD_PROM,DONOR_AGE,URBANICITY,LAST_GIFT_AMT,LIFETIME_PROM,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,MEDIAN_HOME_VALUE,HOME_OWNER,PCT_ATTRIBUTE4,MONTHS_SINCE_LAST_PROM_RESP,RECENT_RESPONSE_COUNT
183399,0, .,0,0,2,7.0,0.125,22,,?,20.0,55,257,70,404,H,0,15.0,3
45023,0,28,0,0,3,,0.2,9,,C,10.0,23,311,88,686,U,0,15.0,3
77416,0,38,0,22,1,6.0,0.182,25,42.0,T,26.0,65,320,69,655,H,21,22.0,2
109429,1,40,0,40,1,5.0,0.5,5,,T,16.0,13,378,84,589,H,45,17.0,1
156233,0,35,3,30,2,5.0,0.0,11,35.0,T,18.0,25,458,66,2123,H,31,19.0,3
169588,0,31,0,0,2,1.0,0.0,14,,C,20.0,41,307,76,696,U,0,19.0,2
179610,0,10,0,0,3,,0.364,22,35.0,U,10.0,57,0,0,0,U,0,19.0,6
60922,0,21,0,49,4,1.0,0.182,26,65.0,S,5.0,65,323,71,492,U,18,19.0,4
42791,0,28,0,45,2,5.0,0.167,22,,C,15.0,47,304,69,1231,H,56,18.0,3
156219,0,35,8,66,2,,0.5,6,,T,10.0,15,440,64,1982,U,8,17.0,1
23130,0,39,0,28,1,4.0,0.0,14,49.0,T,15.0,40,265,73,553,H,25,26.0,1
189705,0,29,0,37,1,,0.25,7,,C,15.0,14,320,67,966,U,74,25.0,3
71190,1,44,0,30,1,6.0,0.0,20,40.0,R,20.0,51,330,86,595,H,30,23.0,2
132394,1,46,0,40,2,3.0,0.222,33,87.0,R,10.0,78,189,52,467,H,33,19.0,3
68794,0,18,0,9,3,3.0,0.5,10,36.0,S,10.0,25,455,94,1067,U,50,16.0,4
187911,0,34,0,32,1,,0.25,10,,T,15.0,23,365,82,1055,U,19,19.0,2
115442,0,48,0,32,1,1.0,0.0,6,,R,20.0,14,83,57,167,U,59,16.0,1
109536,1,39,0,39,3,6.0,0.25,24,63.0,T,6.0,57,294,86,550,H,41,17.0,3
36842,0,11,0,32,1,3.0,0.5,6,78.0,S,25.0,14,368,76,959,H,39,17.0,1
146283,0,08,0,23,1,4.0,0.5,5,67.0,U,15.0,15,321,29,2365,H,34,16.0,1
88777,0,17,0,13,3,3.0,0.2,23,,S,50.0,61,337,43,1223,U,17,16.0,2
15704,0,40,0,20,2,2.0,0.286,11,51.0,T,15.0,25,288,78,662,H,31,18.0,3
135534,0,08,0,35,1,4.0,0.222,17,72.0,U,15.0,43,310,89,602,H,55,19.0,2
179198,0,17,0,28,4,,0.364,17,,S,20.0,43,370,48,1200,U,14,15.0,6
49988,0,39,64,22,2,4.0,0.111,18,41.0,T,10.0,40,0,0,0,H,12,21.0,1
176361,0,18,1,27,1,1.0,0.1,23,78.0,S,26.0,53,408,81,820,H,11,19.0,2
92447,0,12,0,30,2,5.0,0.1,15,48.0,S,15.0,34,483,88,1088,H,23,17.0,3
109240,1,41,0,17,3,6.0,0.4,28,60.0,T,5.0,76,180,78,445,H,39,15.0,7
14694,0,35,1,36,2,4.0,0.222,21,73.0,T,0.0,57,691,89,3409,H,20,17.0,3
169465,0,52,2,24,4,2.0,0.545,29,56.0,R,5.0,68,162,50,715,H,17,20.0,7
181677,0,27,9,37,1,3.0,0.222,14,49.0,C,20.0,32,0,0,0,H,11,24.0,2
127346,1,14,3,26,1,,0.5,4,47.0,S,15.0,10,656,93,2189,U,0,19.0,1
114531,0,30,0,45,4,1.0,0.4,20,74.0,C,5.0,48,147,68,237,H,34,19.0,5
38519,1,11,0,30,4,4.0,0.429,21,51.0,S,2.0,56,342,68,1098,H,61,17.0,5
113009,0,34,0,24,1,5.0,0.1,26,45.0,T,10.0,63,407,78,737,H,40,24.0,3
11207,0,16,0,37,2,5.0,0.286,16,82.0,S,10.0,59,383,87,764,H,29,24.0,3
188594,0,15,0,18,1,4.0,0.0,24,59.0,S,15.0,62,400,11,3943,H,37,18.0,1
181943,0,21,4,40,2,6.0,0.333,13,56.0,S,50.0,30,226,55,600,H,19,17.0,4
109751,0,24,0,44,3,6.0,0.364,25,49.0,C,10.0,65,532,96,1147,U,56,21.0,5
66068,0,39,0,32,1,5.0,0.1,15,33.0,T,30.0,33,349,16,1333,H,20,24.0,1
146990,0,07,2,29,1,2.0,0.0,8,51.0,U,20.0,22,303,45,1661,U,23,19.0,1
181641,0,27,0,24,1,,0.143,10,,C,15.0,24,273,47,723,U,29,19.0,2
159264,0,13,0,0,1,,0.222,13,,S,20.0,29,363,44,3122,U,0,18.0,3
1779,1,41,0,0,1,,0.333,27,,T,17.0,71,131,27,417,U,0,19.0,4
190117,0,03,0,16,1,,0.25,7,,U,15.0,14,304,37,883,U,29,17.0,1
159623,1,27,0,28,1,2.0,0.167,15,49.0,C,16.0,45,217,62,397,U,27,21.0,1
167410,0,11,0,26,1,7.0,0.0,17,66.0,S,20.0,46,574,84,2438,H,47,26.0,2
107328,0,46,0,26,1,3.0,0.5,6,,R,30.0,15,249,78,317,U,26,17.0,1
85797,1,51,0,36,2,7.0,0.375,28,59.0,R,15.0,54,173,85,333,U,36,23.0,4
33355,1,39,0,32,4,,0.091,25,,T,15.0,66,383,74,700,U,15,15.0,4
146750,0,33,0,56,1,1.0,0.0,25,,C,15.0,60,367,63,1712,U,83,18.0,1
19812,0,35,0,21,2,5.0,0.1,19,39.0,T,17.0,47,544,96,1145,H,19,16.0,3
149318,0,06,0,30,1,,0.0,15,36.0,U,20.0,37,366,59,1846,U,39,26.0,1
93361,0,08,0,24,2,2.0,0.0,13,83.0,U,16.0,32,246,47,661,H,45,19.0,2
160488,1,28,0,53,4,,0.4,15,,C,11.0,39,369,41,647,U,51,15.0,6
146713,0,33,0,50,1,1.0,0.0,15,26.0,C,16.0,36,345,74,3448,U,76,18.0,1
177719,0,43,0,38,1,,0.0,16,61.0,R,16.0,46,188,68,433,U,40,18.0,1
161507,0,12,1,22,1,3.0,0.143,17,31.0,S,15.0,43,454,76,1431,H,23,18.0,2
118112,0,36,0,37,1,1.0,0.286,10,47.0,T,20.0,22,238,79,386,U,80,23.0,2
84474,0,27,0,23,1,4.0,0.25,7,48.0,C,25.0,17,289,78,382,H,25,24.0,1
44818,0,41,0,43,3,5.0,0.222,22,70.0,T,15.0,54,212,88,549,H,54,20.0,5
178956,0,13,0,36,1,,0.143,12,36.0,S,17.0,29,542,68,3409,U,33,15.0,2
29589,1,21,0,40,3,,0.1,22,49.0,S,8.0,53,282,86,453,U,29,18.0,5
125484,0,35,82,12,1,,0.0,26,,T,35.0,69,499,88,891,U,0,,0
46884,1,51,0,22,1,,0.0,20,,R,15.0,50,229,86,397,U,32,19.0,2
188131,0,35,0,34,3,,0.5,13,,T,25.0,29,435,82,1788,U,28,19.0,3
172846,1,27,0,37,2,,0.091,25,55.0,C,7.0,59,406,85,1417,U,32,30.0,1
148572,1,06,0,18,4,,0.286,11,70.0,U,4.0,27,468,86,1838,U,16,18.0,5
104695,0,18,0,25,3,,0.222,13,,S,20.0,29,320,70,731,U,31,15.0,4
140304,0,43,2,45,1,1.0,0.111,14,40.0,R,15.0,35,223,84,613,U,24,18.0,3
80900,0,36,0,27,1,2.0,0.0,19,75.0,T,27.0,47,194,60,412,H,84,18.0,1
64192,0,38,1,36,3,6.0,0.25,16,69.0,T,10.0,42,261,67,556,H,37,17.0,3
147347,0,13,0,32,2,,0.0,11,40.0,S,20.0,25,277,42,2395,U,46,18.0,2
18543,1,36,0,36,3,1.0,0.364,23,37.0,T,14.0,57,243,74,506,U,53,17.0,5
156,0, .,0,0,2,5.0,0.111,38,73.0,?,10.0,98,299,76,706,U,0,18.0,3
130335,0,08,0,35,2,4.0,0.182,30,69.0,U,21.0,60,259,85,630,H,40,22.0,4
105335,0,45,1,37,2,5.0,0.222,25,45.0,R,20.0,55,188,72,246,H,46,18.0,3
160694,0,25,2,34,4,,0.4,9,,C,8.0,22,457,59,1403,U,17,15.0,5
111949,1,51,0,24,4,,0.364,30,,R,5.0,68,166,62,335,U,33,19.0,7
151679,1,21,12,30,1,5.0,0.0,13,57.0,S,22.0,31,339,46,1478,H,18,16.0,1
62884,0,16,3,39,3,,0.273,21,78.0,S,17.0,54,272,53,503,U,19,18.0,4
