CONTROL_NUMBER,DONATED,CLUSTER_CODE,PER_CAPITA_INCOME,RECENT_CARD_RESPONSE_COUNT,HOME_OWNER,RECENCY_STATUS_96NK,PCT_ATTRIBUTE1,RECENT_RESPONSE_PROP,DONOR_AGE,RECENT_STAR_STATUS,LIFETIME_PROM,PEP_STAR,MONTHS_SINCE_LAST_PROM_RESP,FILE_AVG_GIFT,INCOME_GROUP,PCT_ATTRIBUTE4,NUMBER_PROM_12,MOR_HIT_RATE,RECENT_RESPONSE_COUNT
125086,1,10,6802,1,H,S,0,0.235,51.0,1,53,1,15.0,5.54,1.0,38,11,0,4
20881,0,51,9107,1,U,A,1,0.071,76.0,0,47,1,21.0,10.0,,26,13,0,1
22206,1, .,16489,0,U,A,0,0.056,62.0,0,74,1,24.0,14.5,,0,9,0,1
181821,0,21,9937,0,H,F,9,0.2,47.0,0,13,0,18.0,30.0,6.0,13,11,0,1
42898,0,24,20905,1,H,A,1,0.182,85.0,0,23,0,15.0,6.6,4.0,27,12,1,2
107727,1,36,12452,5,H,S,0,0.545,57.0,1,83,1,15.0,5.28,7.0,36,11,0,12
91715,0,12,15722,2,H,A,0,0.143,32.0,0,25,0,24.0,22.5,3.0,49,13,0,2
59142,0,44,14243,2,U,A,0,0.118,,0,54,1,24.0,8.44,4.0,17,10,2,2
34563,0,17,11637,3,H,N,0,0.308,43.0,0,23,1,15.0,8.0,3.0,12,13,0,4
22100,0,46,12781,2,U,A,1,0.231,,0,19,0,19.0,8.0,,43,6,0,3
49614,0,50,3617,0,U,E,1,0.154,,0,24,0,15.0,9.33,1.0,43,8,0,2
137308,0,27,11094,1,H,F,8,0.2,76.0,0,13,0,16.0,20.0,4.0,41,11,2,1
161741,0,35,12011,2,H,A,0,0.286,87.0,0,25,0,18.0,7.75,7.0,47,13,5,4
118487,1,48,10643,1,U,A,0,0.083,29.0,0,26,0,18.0,15.0,3.0,60,10,0,1
81322,1,51,9461,2,U,S,0,0.105,,1,80,1,21.0,10.06,4.0,31,12,0,2
143095,0,10,5940,0,U,A,4,0.0,25.0,0,44,0,,10.8,1.0,0,12,1,0
117399,0,13,16206,3,H,S,0,0.222,27.0,1,50,1,17.0,9.33,4.0,31,15,0,4
177273,0,43,9353,0,H,F,0,0.143,63.0,0,13,0,20.0,15.0,2.0,32,8,0,1
51426,1,36,10808,0,H,A,1,0.053,51.0,0,35,0,22.0,11.67,4.0,33,12,1,1
107815,0,45,10190,1,U,A,0,0.105,,0,36,0,21.0,10.4,1.0,38,6,5,2
99382,0, .,11752,1,H,A,0,0.095,,0,66,1,18.0,11.9,6.0,0,13,0,2
159623,1,27,11627,1,U,A,0,0.063,49.0,0,45,0,21.0,9.8,2.0,27,11,0,1
59744,1,36,13860,3,U,A,0,0.2,43.0,0,40,1,16.0,9.0,,37,14,0,4
37460,0,18,18877,4,U,A,0,0.5,,0,27,1,16.0,9.14,,39,15,0,7
104533,0,35,22459,3,U,A,0,0.313,57.0,0,28,0,17.0,9.8,,21,14,0,5
91337,0,35,16481,1,U,S,0,0.105,,1,58,1,22.0,6.17,,48,11,0,2
77235,0,40,14867,3,U,S,0,0.19,79.0,1,67,1,20.0,16.07,,22,14,0,4
15790,0,28,13554,2,H,A,0,0.2,62.0,4,66,1,16.0,7.31,3.0,26,13,20,4
131773,0,11,18781,1,H,A,9,0.222,33.0,0,19,0,18.0,15.0,4.0,20,12,0,2
31202,0,39,14973,3,H,A,2,0.417,,0,24,1,15.0,7.0,5.0,29,13,2,5
115204,0,51,8346,0,U,A,0,0.118,44.0,0,61,1,20.0,13.44,,39,13,0,2
159,1,45,12208,5,U,A,1,0.5,81.0,0,90,1,11.0,9.31,4.0,46,29,24,11
6367,0,26,14910,2,U,S,12,0.176,,1,113,1,16.0,8.38,,78,31,0,3
172597,1,34,12639,1,H,A,0,0.167,71.0,0,41,0,18.0,7.15,5.0,40,8,0,2
36354,0,30,10573,0,H,A,0,0.1,74.0,0,43,0,19.0,10.4,4.0,35,14,1,2
187764,1, .,29972,1,U,E,0,0.25,,0,19,0,18.0,23.33,,0,5,0,2
139033,0,37,15305,1,H,F,0,0.2,67.0,0,13,0,17.0,20.0,5.0,55,9,0,1
44219,0,28,14156,2,U,A,0,0.25,,0,34,0,18.0,9.17,,59,12,0,5
164356,0,05,19315,1,H,N,0,0.1,79.0,0,15,0,24.0,15.0,6.0,54,7,16,1
151502,0,14,23356,2,H,A,2,0.143,,0,22,0,24.0,20.0,6.0,28,9,0,2
126553,0,24,12905,0,U,S,2,0.2,,1,67,1,19.0,7.2,,28,14,0,4
183399,0, .,10594,1,H,A,0,0.176,,0,55,1,15.0,15.25,7.0,0,13,0,3
69848,0,44,13953,3,H,N,0,0.3,81.0,0,23,1,17.0,5.67,3.0,12,13,48,3
158366,0,03,16734,2,U,A,0,0.333,,0,25,1,15.0,9.17,1.0,47,13,0,5
99736,1,36,13546,1,U,A,0,0.059,46.0,0,59,1,26.0,5.57,4.0,21,9,0,1
103148,0,39,11480,2,U,S,0,0.19,,1,57,1,15.0,12.56,,19,13,0,4
39174,0,29,14013,3,U,A,0,0.294,69.0,0,51,1,20.0,6.0,1.0,81,12,1,5
29569,0,30,10200,3,H,A,0,0.4,73.0,0,25,1,16.0,5.43,1.0,26,12,0,6
39074,0,29,18144,2,U,A,0,0.167,55.0,0,50,0,18.0,11.57,,94,13,0,3
105624,0,49,11320,4,U,A,0,0.333,,0,35,1,19.0,7.73,,35,13,0,6
