CONTROL_NUMBER,DONATED,CLUSTER_CODE,CARD_PROM_12,MONTHS_SINCE_FIRST_GIFT,LAST_GIFT_AMT,PCT_ATTRIBUTE1,NUMBER_PROM_12,MOR_HIT_RATE,INCOME_GROUP,RECENT_RESPONSE_COUNT,MONTHS_SINCE_ORIGIN,PUBLISHED_PHONE,LIFETIME_MAX_GIFT_AMT,RECENCY_STATUS_96NK,FILE_CARD_GIFT,MONTHS_SINCE_LAST_PROM_RESP,RECENT_RESPONSE_PROP,PCT_OWNER_OCCUPIED,FREQUENCY_STATUS_97NK
140642,1,39,6,126,5.0,34,13,2,3.0,8,137,1,7.0,S,16,19.0,0.381,62,4
63799,0,46,6,44,8.0,1,12,0,2.0,7,41,0,20.0,A,4,22.0,0.333,84,4
148991,1,22,6,63,25.0,0,13,1,5.0,2,65,0,25.0,A,1,18.0,0.095,77,1
127724,0,36,6,24,15.0,1,12,0,4.0,2,29,0,15.0,N,1,18.0,0.182,86,2
13748,1, .,8,113,10.0,0,33,0,,4,113,0,15.0,A,12,18.0,0.19,90,1
30334,0,31,4,17,15.0,0,10,0,,1,17,0,15.0,F,1,17.0,0.2,20,1
22168,0,36,6,81,16.0,0,13,10,1.0,5,89,1,16.0,A,4,18.0,0.238,73,2
30744,0,12,6,33,15.0,0,12,5,6.0,3,29,1,15.0,A,1,19.0,0.158,89,2
57976,0,30,6,76,21.0,0,13,0,2.0,3,77,0,21.0,A,5,16.0,0.136,75,2
153353,1,10,6,52,30.0,5,13,0,,3,53,0,30.0,A,3,18.0,0.15,37,2
84564,0,27,6,81,16.0,0,13,0,4.0,2,89,1,16.0,A,6,21.0,0.125,61,1
4016,0,15,4,93,36.0,1,11,5,6.0,2,101,1,41.0,A,6,20.0,0.105,14,1
55837,0,40,6,41,13.0,4,13,2,3.0,6,41,1,20.0,A,6,20.0,0.273,65,4
137957,0,15,6,93,15.0,2,13,0,,4,101,0,25.0,A,7,24.0,0.182,35,2
11254,1, .,7,113,25.0,0,32,28,3.0,4,113,0,30.0,A,3,18.0,0.19,75,2
48863,0,43,3,65,25.0,3,7,0,,1,65,0,25.0,A,3,27.0,0.056,87,1
32278,0,24,6,124,10.0,0,13,11,5.0,3,137,1,10.0,A,9,21.0,0.176,90,2
113845,0,53,6,31,25.0,1,15,0,2.0,3,29,0,25.0,A,1,16.0,0.231,74,2
16581,0,11,4,35,15.0,0,10,1,6.0,2,41,1,15.0,A,1,17.0,0.154,52,1
34087,0,27,6,68,15.0,2,14,4,1.0,2,77,1,15.0,A,3,21.0,0.095,78,1
189715,1,01,2,41,20.0,0,2,0,,2,41,0,20.0,E,4,17.0,0.5,38,2
172359,1,30,5,128,14.0,0,12,0,,3,137,0,15.0,A,11,20.0,0.188,50,1
129241,0,17,6,32,8.0,7,12,2,5.0,5,29,1,9.0,A,2,18.0,0.333,29,4
107039,1,14,6,129,15.0,0,12,25,6.0,1,137,0,15.0,A,10,21.0,0.053,98,1
184644,1,41,5,20,25.0,0,11,0,1.0,1,17,0,25.0,F,1,20.0,0.167,16,1
188494,0,29,8,47,20.0,0,17,0,5.0,3,65,0,21.0,A,3,15.0,0.136,93,2
50204,0,24,6,53,15.0,0,13,0,,8,53,1,15.0,S,10,17.0,0.421,95,4
91482,0,35,6,44,15.0,0,12,0,5.0,2,41,1,15.0,A,2,17.0,0.125,91,2
181569,1,40,6,75,19.0,0,14,0,,8,77,0,23.0,S,5,15.0,0.364,76,4
134032,1,49,6,110,20.0,0,13,0,,4,113,0,21.0,A,12,18.0,0.2,78,1
125005,1,39,5,52,20.0,7,11,39,3.0,3,53,1,20.0,A,3,26.0,0.136,59,1
57304,0,24,5,113,15.0,0,12,6,7.0,2,113,1,25.0,A,9,27.0,0.095,97,1
21711,0,28,6,128,12.0,0,12,0,2.0,3,137,0,15.0,S,12,16.0,0.143,71,2
72876,0,40,6,87,20.0,0,11,2,7.0,1,89,1,20.0,A,8,24.0,0.05,93,1
190581,0,02,6,67,30.0,3,13,0,5.0,1,77,0,30.0,A,2,18.0,0.05,71,1
71967,0,40,4,32,15.0,0,10,7,5.0,2,29,1,15.0,A,0,17.0,0.133,87,1
136905,0,02,5,113,11.0,2,12,7,5.0,4,113,1,12.0,A,6,15.0,0.267,95,2
15270,0,47,5,118,5.0,0,11,1,7.0,4,125,1,5.0,S,13,18.0,0.222,79,3
5537,0, .,6,128,11.0,0,27,0,2.0,4,125,0,15.0,A,17,25.0,0.182,81,1
42443,0,43,6,67,25.0,0,13,0,1.0,1,77,1,30.0,S,3,18.0,0.05,91,2
92668,0,24,6,41,20.0,0,12,0,7.0,2,41,0,20.0,A,2,18.0,0.1,56,1
66797,1,14,6,33,25.0,0,14,0,7.0,5,29,0,25.0,A,3,15.0,0.263,91,3
128720,0,30,6,37,5.0,0,12,1,1.0,7,41,1,5.0,A,5,18.0,0.368,75,4
173497,1,13,5,16,20.0,6,12,0,7.0,1,17,1,20.0,F,1,16.0,0.2,78,1
148051,0,13,4,18,10.0,0,10,3,3.0,1,17,0,20.0,F,2,7.0,0.2,94,1
38340,0,02,5,25,10.0,0,13,0,7.0,3,29,0,10.0,N,3,15.0,0.273,74,3
83530,1,08,6,77,36.0,0,14,0,,3,77,1,42.0,A,6,21.0,0.158,68,1
59354,0,49,6,29,5.0,0,13,0,,5,29,0,6.0,A,3,18.0,0.417,78,4
76479,0,44,4,29,20.0,0,10,6,5.0,2,29,1,20.0,A,2,18.0,0.154,51,1
71043,1,51,12,111,25.0,0,24,16,5.0,5,113,0,25.0,A,9,18.0,0.238,83,3
145899,1,17,6,32,20.0,0,13,0,,3,29,0,20.0,A,1,21.0,0.214,74,2
169955,1,42,6,116,50.0,0,13,22,4.0,2,137,1,50.0,A,9,28.0,0.091,64,1
152893,0,18,6,56,25.0,4,13,0,2.0,2,65,0,25.0,A,1,27.0,0.1,71,1
43536,0,10,5,125,5.0,0,11,0,,6,125,0,8.0,S,17,18.0,0.286,0,3
37716,0,09,6,40,10.0,0,13,0,4.0,6,41,1,10.0,A,4,19.0,0.3,71,4
53208,0,47,6,68,13.0,0,13,0,5.0,3,77,0,15.0,A,5,16.0,0.167,84,3
175582,1,30,3,53,15.0,0,9,0,,3,53,0,15.0,E,4,15.0,0.231,55,1
7120,0,24,6,130,10.0,0,14,4,2.0,2,137,1,12.0,S,12,18.0,0.1,97,2
185663,1,43,4,128,5.0,0,16,0,,6,137,1,7.0,S,12,22.0,0.353,83,3
