"year","state","color","condition","odometer","mmr","sellingprice"
2015,"mi","—",5,9322,19900,19300
2011,"fl","red",2.9,39708,10550,10500
2002,"fl","blue",3.4,57886,5375,6700
2001,"or","white",1.9,62989,2100,3800
2011,"fl","blue",2.4,28428,14950,12800
2012,"ca","silver",2.5,63375,9950,9100
2006,"tn","white",3,94582,7475,4800
2004,"ga","gray",3.1,149335,4800,5700
2003,"pa","gray",3.5,170475,3000,2900
2007,"fl","off-white",3.4,117689,7700,9100
2011,"pa","black",2.7,31226,14250,16100
2013,"ca","gray",4.2,24052,22900,24500
2012,"il","gray",4,43517,21500,20200
2012,"pa","white",4.2,33612,18650,18900
2013,"sc","blue",4.5,35064,11550,11300
2015,"nj","gray",4.9,1155,16050,17000
2008,"nv","white",4.2,72969,7575,7400
2012,"nj","silver",3.4,23578,12950,12400
2009,"pr","gray",3.4,46134,6250,7100
2001,"ny","blue",1.9,157188,3225,700
2011,"ut","white",2.3,56949,19550,21500
2011,"nj","white",4.1,28893,17550,17200
2014,"fl","—",4.2,22642,19600,20400
2008,"tx","beige",4.4,182489,13950,15200
2004,"ca","white",3.5,132996,14000,16200
2012,"tn","black",4.4,32028,12100,15600
2012,"co","brown",4.5,31028,30900,31800
2013,"md","white",3.9,9476,25000,22600
2012,"mi","white",5,47454,19800,21500
2004,"nj","red",1.9,77815,2325,2800
2009,"nj","gray",2.5,128118,13450,14000
2012,"wi","black",3.7,108228,11450,12100
1998,"nc","purple",1.9,175594,450,400
2012,"wi","—",2.1,65009,12400,10500
2013,"ga","blue",3.8,17603,18100,18900
2006,"ca","white",2.7,99919,3700,2700
2013,"mo","silver",2.1,21839,23100,19600
2004,"nj","orange",2.7,97362,3375,3200
2012,"md","gray",3.5,34128,9800,9200
2012,"tn","blue",4.2,36265,20500,22500
2013,"tx","green",4,29838,21300,20000
2014,"fl","—",4.8,7017,25500,26500
2014,"tx","white",5,2914,11650,13800
2008,"ca","gray",2.7,114770,3550,3900
2010,"oh","silver",4.9,79300,20200,21600
2011,"pa","gray",4.7,36119,35100,37500
2012,"fl","burgundy",4.6,9906,13400,15600
2003,"ca","blue",3.1,84727,4225,5800
2014,"az","silver",4,18600,23000,23300
2013,"fl","black",2.9,44522,11450,10200
2014,"co","gray",4.2,27782,19350,20200
2013,"fl","gray",4.1,19807,21100,20200
2013,"mi","silver",2.5,17897,15650,13300
2002,"ca","silver",3,131118,2775,3500
2015,"ga","white",4.9,9525,21500,20800
2013,"tn","—",4.7,22169,15550,15800
2012,"mo","—",4.3,30797,8500,9300
2012,"fl","silver",1.9,31400,12600,12200
2013,"ca","gray",4.2,56126,9900,10700
2013,"oh","silver",4.1,56260,8700,8500
2006,"mo","gold",3.6,33192,9525,15700
2013,"pa","silver",4,39543,11150,10900
2009,"fl","black",3.4,123652,21100,19900
1998,"ca","black",2.6,180694,1900,2200
2013,"ca","black",3.8,22046,29100,27500
2014,"il","white",4.9,10665,13550,13300
2014,"va","blue",4,28135,18800,18000
2014,"pa","blue",4,13265,13450,13400
2012,"fl","black",3.1,31990,17200,13400
2004,"il","blue",2,151637,2975,1000
2014,"fl","black",4.4,14572,22800,23000
2008,"fl","white",2,133948,7175,7900
2006,"nc","black",1.9,163778,900,900
2012,"ca","black",1.9,76105,7150,6700
2012,"tn","black",2.8,35888,15950,14700
2009,"tx","gray",1.9,101988,5600,4700
2014,"fl","black",3.9,8039,38200,37000
2014,"il","white",4.2,24572,19950,20700
2012,"hi","black",4.5,20043,29400,26000
2006,"nc","silver",3.4,114890,5950,5600
2012,"wa","gray",2.2,84091,14500,15700
2011,"az","silver",2,66566,8925,8000
2003,"oh","silver",1,144310,2225,650
2013,"fl","white",3.4,34891,14800,14800
2009,"fl","blue",1.9,145438,5275,5500
2012,"sc","black",3.7,41392,13100,11500
2013,"pa","black",3.4,25476,28200,26300
2014,"il","white",4.5,27367,15250,15400
2010,"nc","black",4.5,47558,14700,15900
2000,"ga","red",2,96107,2750,2100
2012,"tx","black",2.7,41547,12900,12200
2013,"il","—",4.3,30858,13850,15200
2013,"fl","black",3.6,26862,17000,19000
2001,"ma","beige",1.9,238917,4900,6900
2013,"ca","black",4.4,24404,27600,31250
2008,"nj","black",1.9,60386,5975,4200
2012,"pa","black",2.3,26663,17050,14500
2012,"ga","black",2.7,59559,8425,8000
2011,"ca","red",4.1,57795,11300,12700
2010,"il","white",4.3,130534,14150,13300
