"saledate","trim","body","sellingprice","vin","year"
"Tue Jan 27 2015 01:30:00 GMT-0800 (PST)","XR","SUV",11400,"5gzer23d49j129449",2009
"Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)","SE","sedan",8500,"1fahp3fn3aw269729",2010
"Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)","ML500","suv",1700,"4jgab75e82a324222",2002
"Wed Jan 21 2015 06:30:00 GMT-0800 (PST)","SE","Sedan",700,"jn1ca21d0st039456",1995
"Tue Jan 27 2015 01:30:00 GMT-0800 (PST)","SE","Sedan",9000,"1fahp3f23cl204776",2012
"Tue Jan 06 2015 01:15:00 GMT-0800 (PST)","LS","Extended Cab",2100,"2gcek19t211352876",2001
"Thu Jan 08 2015 12:00:00 GMT-0800 (PST)","SE","SUV",15800,"2fmdk3gc9cba82273",2012
"Tue Mar 03 2015 03:15:00 GMT-0800 (PST)","GLS","Sedan",11200,"5npdh4ae8dh307050",2013
"Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)","XLT","SuperCrew",13700,"1ftpw14v37fb38776",2007
"Tue Dec 16 2014 12:00:00 GMT-0800 (PST)","Base","Wagon",9300,"kndjt2a57c7432856",2012
"Wed Dec 17 2014 12:30:00 GMT-0800 (PST)","EX","SUV",21500,"5j6rm3h58el043515",2014
"Thu Feb 19 2015 01:30:00 GMT-0800 (PST)","Latitude","SUV",17800,"1c4njrfb7ed778327",2014
"Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)","XLT","supercrew",15000,"1ftfw1ev6afc08191",2010
"Thu Feb 26 2015 02:00:00 GMT-0800 (PST)","G37x","G Sedan",20200,"jn1cv6ar3dm759354",2013
"Tue Mar 03 2015 01:30:00 GMT-0800 (PST)","Sport","SUV",13300,"1c4pjlak2cw148780",2012
"Wed Feb 11 2015 02:15:00 GMT-0800 (PST)","Base","SUV",53500,"wp1aa2a22ela05010",2014
"Wed Feb 25 2015 02:00:00 GMT-0800 (PST)","LX","Sedan",14400,"19xfb2f55ee046490",2014
"Tue Jan 06 2015 04:00:00 GMT-0800 (PST)","LT","SUV",16000,"2gnalpek0d6283275",2013
"Wed Dec 31 2014 12:30:00 GMT-0800 (PST)","1.8T","Sedan",3700,"waujc68e03a390513",2003
"Wed May 27 2015 05:30:00 GMT-0700 (PDT)","SLT","Crew Cab",20900,"1d7rv1ct0bs639318",2011
"Wed Feb 11 2015 03:45:00 GMT-0800 (PST)","GLS","Sedan",10400,"5npdh4ae0dh248298",2013
"Wed Feb 04 2015 02:30:00 GMT-0800 (PST)","EX","Sedan",1900,"knafu4a27b5466310",2011
"Fri Feb 27 2015 01:00:00 GMT-0800 (PST)","2.0 SR","Sedan",11500,"3n1ab6ap0cl712712",2012
"Wed Jan 21 2015 01:05:00 GMT-0800 (PST)","XLT","Extended Cab",1000,"1ftcr14a3vpb26945",1997
"Thu Jun 18 2015 02:15:00 GMT-0700 (PDT)","Base","hatchback",8900,"1g1ra6e43cu123591",2012
"Wed Jan 21 2015 02:00:00 GMT-0800 (PST)","2.0","Sedan",8500,"3n1ab6ap2bl693160",2011
"Thu Jan 08 2015 11:00:00 GMT-0800 (PST)","V6","Coupe",17700,"1zvbp8amxe5309633",2014
"Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)","2.5i Premium PZEV","wagon",20600,"4s4brbcc0d3261709",2013
"Thu Mar 05 2015 03:30:00 GMT-0800 (PST)","LT","SUV",7900,"2cndl63f676079036",2007
"Wed Jul 01 2015 07:00:00 GMT-0700 (PDT)","Limited","Sedan",18500,"1fahp2f81eg165101",2014
"Thu Dec 18 2014 11:30:00 GMT-0800 (PST)","SE PZEV","Sedan",10500,"1vwbp7a30cc065176",2012
"Wed Feb 11 2015 04:30:00 GMT-0800 (PST)","RT","Sedan",8200,"2b3la53hx6h437180",2006
"Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)","SV","suv",12500,"jn8as5mv5cw363403",2012
"Wed Jan 28 2015 04:00:00 GMT-0800 (PST)","","",2000,"3gnec16t63g243002",2003
"Fri Dec 19 2014 09:00:00 GMT-0800 (PST)","Touring","Sedan",1800,"2c3kk53g96h328258",2006
"Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)","SV","SUV",6500,"jn8as5mv6cw388343",2012
"Thu Jan 15 2015 04:30:00 GMT-0800 (PST)","Base","Sedan",500,"knafb121835235847",2003
"Thu Mar 05 2015 03:00:00 GMT-0800 (PST)","Limited","Sedan",1400,"1g4hr54k12u136372",2002
"Wed May 20 2015 03:20:00 GMT-0700 (PDT)","XLT","Crew Cab",5000,"1ftnw20p34eb92424",2004
"Wed Feb 25 2015 02:30:00 GMT-0800 (PST)","2.5","Sedan",8800,"1n4al3ap8dc153941",2013
"Wed Jan 07 2015 09:20:00 GMT-0800 (PST)","SE","Sedan",15800,"3fa6p0h71dr211050",2013
"Thu Mar 05 2015 01:35:00 GMT-0800 (PST)","SXT","Sedan",3200,"1b3lc56r38n200829",2008
"Fri Feb 27 2015 01:00:00 GMT-0800 (PST)","3.5 SV","Sedan",16000,"1n4aa5ap1bc802848",2011
"Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)","LE","Sedan",14300,"2t1burhe5ec147350",2014
"Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)","GLS","sedan",11200,"5npdh4ae7dh325121",2013
"Wed Feb 18 2015 05:15:00 GMT-0800 (PST)","G25x","G Sedan",14800,"jn1dv6ar0cm730445",2012
"Thu Feb 19 2015 02:40:00 GMT-0800 (PST)","1.8T","Hatchback",1900,"9bwde61j044026423",2004
"Thu Jan 22 2015 02:00:00 GMT-0800 (PST)","LT1","SUV",12200,"1gnev23d39s166622",2009
"Fri Feb 13 2015 01:30:00 GMT-0800 (PST)","2.5 S","Sedan",2400,"1n4al11d66c105822",2006
"Tue Jun 16 2015 04:00:00 GMT-0700 (PDT)","","",6500,"jf1sg69655h702344",2005
"Fri Jan 09 2015 11:45:00 GMT-0800 (PST)","135i","Coupe",19500,"wbauc9c55cvm11824",2012
"Wed Jan 14 2015 02:30:00 GMT-0800 (PST)","XLT","Extended Cab",325,"1ftzx18w1wna18679",1998
"Wed Feb 11 2015 02:30:00 GMT-0800 (PST)","GLS","Sedan",10000,"kmhdh4ae1cu334395",2012
"Thu Feb 05 2015 07:00:00 GMT-0800 (PST)","V8","SUV",8400,"wvgzb77l47d020258",2007
"Thu Dec 18 2014 09:30:00 GMT-0800 (PST)","SEL","Sedan",7300,"3fahp0cg6br346330",2011
"Wed Dec 31 2014 10:00:00 GMT-0800 (PST)","Base","Sedan",16700,"jthbk1eg1b2436201",2011
"Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)","ES","Sedan",10700,"ja32u2fu5eu019256",2014
"Wed Jan 28 2015 02:30:00 GMT-0800 (PST)","SV","SUV",15800,"jn8as5mv1bw300538",2011
"Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)","2.5","sedan",9500,"1n4al3ap0dn585671",2013
"Wed Dec 31 2014 12:00:00 GMT-0800 (PST)","SE","Sedan",13500,"5npdh4ae0eh505008",2014
"Wed Mar 04 2015 02:00:00 GMT-0800 (PST)","SE","Sedan",11900,"3fa6p0h74dr286731",2013
"Wed Feb 25 2015 01:30:00 GMT-0800 (PST)","2.5i Premium PZEV","Sedan",17600,"4s3bmbc68e3036324",2014
"Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)","Convenience Group 2","sedan",13700,"1g4pr5sk8c4144498",2012
"Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)","2.5 S","sedan",11900,"1n4al3ap5ec203759",2014
"Tue Feb 17 2015 01:30:00 GMT-0800 (PST)","SV","Sedan",11100,"1n4ab7ap7dn900394",2013
"Thu Jan 22 2015 03:00:00 GMT-0800 (PST)","L 4.2 quattro","Sedan",35200,"waurvafd7bn020970",2011
"Tue Feb 17 2015 04:00:00 GMT-0800 (PST)","LX","Sedan",12600,"knafx4a65e5240426",2014
"Tue Jan 27 2015 02:30:00 GMT-0800 (PST)","Express","SUV",7200,"3d4pg4fbxbt534514",2011
"Thu May 21 2015 02:30:00 GMT-0700 (PDT)","XLT","SUV",27500,"1fm5k8d88dga85113",2013
"Thu Dec 18 2014 10:00:00 GMT-0800 (PST)","LT1","Sedan",9500,"1g1zc5e10bf200141",2011
"Tue Feb 17 2015 01:30:00 GMT-0800 (PST)","Touring","Minivan",14100,"2c4rc1bg0dr657505",2013
"Wed Feb 18 2015 02:00:00 GMT-0800 (PST)","SE","SUV",2900,"5n1ed28t04c616673",2004
"Tue Jan 27 2015 01:30:00 GMT-0800 (PST)","525i","Sedan",5000,"wbana53524b852946",2004
"Thu Dec 18 2014 10:00:00 GMT-0800 (PST)","4.2 quattro","Sedan",5500,"waudl74f55n058872",2005
"Tue Mar 03 2015 01:00:00 GMT-0800 (PST)","Base","SUV",14300,"2t3bf4dv0cw216080",2012
"Thu Mar 05 2015 03:00:00 GMT-0800 (PST)","LS 3500","Van",25750,"1gazg1fa0e1166263",2014
"Thu May 21 2015 02:00:00 GMT-0700 (PDT)","SE","Hatchback",9100,"3fadp4ej7em151899",2014
"Wed May 27 2015 03:30:00 GMT-0700 (PDT)","Rubicon","SUV",25300,"1c4bjwcg0dl544116",2013
"Tue Feb 10 2015 01:30:00 GMT-0800 (PST)","LTZ Fleet","Sedan",14800,"2g1wc5e35e1146240",2014
"Tue Feb 10 2015 04:30:00 GMT-0800 (PST)","M37","Sedan",24000,"jn1by1apxcm333809",2012
"Thu Feb 19 2015 17:00:00 GMT-0800 (PST)","LXi","Sedan",750,"2c3hd36m04h600199",2004
"Thu Mar 05 2015 03:00:00 GMT-0800 (PST)","Premium I","Sedan",20000,"2g4gn5ex1e9247992",2014
"Wed May 27 2015 03:00:00 GMT-0700 (PDT)","GLK350","suv",18000,"wdcgg5gb8cf859833",2012
"Wed Jan 21 2015 01:30:00 GMT-0800 (PST)","SE","SUV",22500,"5tdzk3eh4cs064190",2012
"Tue Jan 27 2015 03:00:00 GMT-0800 (PST)","S","Hatchback",19000,"wmwsv3c57dt394780",2013
"Wed Jan 21 2015 02:15:00 GMT-0800 (PST)","C300 Sport","Sedan",19300,"wddgf5eb3ba416602",2011
"Fri Feb 06 2015 01:50:00 GMT-0800 (PST)","328i","Sedan",16000,"wbaph7c57be130903",2011
"Fri Jan 16 2015 01:35:00 GMT-0800 (PST)","S","Hatchback",9800,"wmwmf7c57atz72952",2010
"Wed Dec 31 2014 10:30:00 GMT-0800 (PST)","328i xDrive","Sedan",19900,"wbapk7g52bnn86710",2011
"Wed Jan 28 2015 02:20:00 GMT-0800 (PST)","xDrive50i","SUV",35000,"5uxzv8c59cl425622",2012
"Tue Feb 10 2015 02:00:00 GMT-0800 (PST)","GLS","Sedan",13800,"5npeb4ac2eh816900",2014
"Thu Feb 05 2015 01:35:00 GMT-0800 (PST)","3.0si","SUV",13800,"5uxfe43508l035270",2008
"Thu May 21 2015 02:00:00 GMT-0700 (PDT)","Titanium","Sedan",19300,"3fa6p0ru1er279001",2014
"Tue Feb 10 2015 05:00:00 GMT-0800 (PST)","LT","SUV",2500,"1gndt13s082165730",2008
"Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)","S","minivan",10900,"jn8ae2kp8b9007776",2011
"Wed Mar 04 2015 01:30:00 GMT-0800 (PST)","2.0 SR","Sedan",10100,"3n1ab6ap1cl665934",2012
"Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)","LT","Coupe",19000,"2g1fc1e37c9184432",2012
