"state","saledate","trim","transmission","vin","sellingprice"
"il","Thu Jan 15 2015 02:00:00 GMT-0800 (PST)","Touring","automatic","2c3ka53g07h887668",3600
"nc","Tue Dec 30 2014 09:15:00 GMT-0800 (PST)","SLE","automatic","3gtu2ve22bg320096",28900
"pa","Fri Jan 02 2015 09:00:00 GMT-0800 (PST)","Touring","","2c4rc1bg8er207571",16900
"md","Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)","LT2","automatic","1g1zd5e11bf217902",10100
"ut","Wed May 13 2015 04:30:00 GMT-0700 (PDT)","SXT Fleet","automatic","2b3ca3cv1ah267956",9400
"oh","Tue Feb 24 2015 01:30:00 GMT-0800 (PST)","LT","automatic","1g11e5sa8du137106",13400
"ca","Tue May 26 2015 05:30:00 GMT-0700 (PDT)","Platinum","automatic","5n1ar2mm1fc628607",32750
"nj","Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)","2.5","automatic","1n4al2ap9cn415138",8500
"fl","Fri Feb 20 2015 09:20:00 GMT-0800 (PST)","LT","automatic","1gc1kve87ff184112",41500
"nv","Wed Dec 31 2014 12:15:00 GMT-0800 (PST)","Si","manual","2hgfa5e54ah700336",11000
"nc","Tue Feb 03 2015 01:15:00 GMT-0800 (PST)","SE","automatic","3vwdx7aj5cm073103",8000
"pa","Wed Jan 21 2015 01:30:00 GMT-0800 (PST)","Base","automatic","jtkde177770198106",7100
"pa","Wed Jan 28 2015 01:30:00 GMT-0800 (PST)","i Touring","automatic","jm1bl1vp7d1805036",11500
"ca","Wed Jan 21 2015 04:30:00 GMT-0800 (PST)","2.5 SL","automatic","1n4al11dx3c280747",2100
"mn","Thu Jan 29 2015 02:45:00 GMT-0800 (PST)","","automatic","jtjbt20x850089605",11800
"ca","Wed Feb 18 2015 03:30:00 GMT-0800 (PST)","SE","automatic","1d8hn44h08b112844",4000
"co","Wed May 27 2015 04:45:00 GMT-0700 (PDT)","LTZ","automatic","1gnskce01dr304766",32500
"fl","Wed Feb 25 2015 01:05:00 GMT-0800 (PST)","SE V6","automatic","5npeu46f49h467757",8900
"oh","Tue Jan 27 2015 01:30:00 GMT-0800 (PST)","SE","automatic","4t1bf1fk7du242851",13900
"pa","Fri Feb 27 2015 01:00:00 GMT-0800 (PST)","GLS","","5npdh4ae7dh263199",10100
"mo","Wed Apr 22 2015 03:30:00 GMT-0700 (PDT)","SV","automatic","5n1ar1nb0cc609680",11200
"oh","Tue Jan 27 2015 06:00:00 GMT-0800 (PST)","535i xDrive","automatic","wba5m4c59ed183761",53000
"la","Wed Feb 25 2015 03:00:00 GMT-0800 (PST)","SLT","automatic","1gkds13s672275082",5300
"fl","Thu May 21 2015 02:15:00 GMT-0700 (PDT)","S","automatic","jn8as5mt7cw609768",13000
"sc","Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)","V6","automatic","1gyee637360168303",4500
"pa","Fri Jan 16 2015 01:00:00 GMT-0800 (PST)","GL450","","4jgbf71e49a507030",20200
