"transmission","sellingprice","saledate","interior","year","state"
"automatic",14000,"Tue Dec 30 2014 00:00:00 GMT-0800 (PST)","black",2002,"az"
"automatic",14300,"Wed Feb 18 2015 02:00:00 GMT-0800 (PST)","gray",2014,"fl"
"automatic",3900,"Thu Feb 26 2015 04:30:00 GMT-0800 (PST)","blue",2001,"ne"
"automatic",23600,"Tue May 26 2015 05:00:00 GMT-0700 (PDT)","black",2012,"co"
"automatic",5600,"Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)","gray",2008,"ma"
"manual",2500,"Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)","black",2003,"mi"
"automatic",2600,"Tue Feb 17 2015 01:30:00 GMT-0800 (PST)","gray",2001,"md"
"automatic",4900,"Wed Feb 25 2015 01:30:00 GMT-0800 (PST)","gray",2006,"fl"
"automatic",10800,"Tue Feb 10 2015 01:20:00 GMT-0800 (PST)","gray",2008,"fl"
"automatic",11600,"Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)","black",2013,"fl"
"automatic",18100,"Thu Feb 19 2015 02:00:00 GMT-0800 (PST)","gray",2014,"il"
"",19400,"Fri Mar 06 2015 01:00:00 GMT-0800 (PST)","black",2012,"pa"
"automatic",8700,"Thu May 28 2015 05:00:00 GMT-0700 (PDT)","black",2008,"az"
"automatic",5100,"Wed Jan 07 2015 12:00:00 GMT-0800 (PST)","—",2005,"ca"
"automatic",13100,"Thu Feb 12 2015 02:00:00 GMT-0800 (PST)","gray",2013,"il"
"automatic",1900,"Wed Feb 04 2015 02:30:00 GMT-0800 (PST)","beige",2011,"tx"
"automatic",16200,"Thu Jan 08 2015 10:00:00 GMT-0800 (PST)","tan",2012,"sc"
"automatic",9800,"Thu Jan 15 2015 01:35:00 GMT-0800 (PST)","black",2011,"fl"
"automatic",37600,"Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)","black",2011,"mi"
"automatic",20200,"Mon Mar 02 2015 04:30:00 GMT-0800 (PST)","black",2014,"fl"
"automatic",9300,"Tue Feb 17 2015 01:30:00 GMT-0800 (PST)","beige",2008,"nc"
"automatic",39000,"Thu Feb 05 2015 01:20:00 GMT-0800 (PST)","gray",2015,"va"
"automatic",10600,"Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)","beige",2013,"fl"
"automatic",13200,"Thu Feb 05 2015 01:05:00 GMT-0800 (PST)","black",2007,"va"
"automatic",24750,"Thu Dec 18 2014 12:30:00 GMT-0800 (PST)","black",2013,"ca"
"automatic",10800,"Fri Jan 16 2015 01:00:00 GMT-0800 (PST)","black",2012,"pa"
"automatic",12300,"Wed Feb 04 2015 02:00:00 GMT-0800 (PST)","black",2013,"tx"
"automatic",32500,"Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)","brown",2013,"fl"
"",17000,"Fri Feb 20 2015 09:00:00 GMT-0800 (PST)","black",2008,"pa"
"",3000,"Thu Feb 12 2015 03:30:00 GMT-0800 (PST)","gray",2007,"ab"
"automatic",19600,"Wed Jan 21 2015 01:30:00 GMT-0800 (PST)","black",2013,"nj"
"",16000,"Tue Jan 06 2015 02:00:00 GMT-0800 (PST)","black",2012,"qc"
"automatic",12600,"Wed Feb 04 2015 02:30:00 GMT-0800 (PST)","black",2012,"tn"
"automatic",14700,"Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)","gray",2011,"il"
"automatic",26400,"Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)","black",2014,"tx"
"automatic",12200,"Thu Jan 08 2015 09:30:00 GMT-0800 (PST)","gray",2014,"pa"
"automatic",9900,"Fri Jan 30 2015 01:00:00 GMT-0800 (PST)","beige",2012,"pa"
"automatic",22800,"Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)","black",2012,"fl"
"",19700,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)","beige",2007,"pa"
"automatic",20250,"Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)","black",2013,"tn"
"automatic",16200,"Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)","black",2012,"fl"
"automatic",3200,"Thu Jan 15 2015 02:00:00 GMT-0800 (PST)","black",2003,"ga"
"automatic",13000,"Wed Jan 28 2015 02:30:00 GMT-0800 (PST)","tan",2014,"tn"
"",8000,"Wed Feb 18 2015 01:30:00 GMT-0800 (PST)","beige",2008,"nj"
"manual",17300,"Wed Feb 04 2015 02:00:00 GMT-0800 (PST)","gray",2008,"tn"
"automatic",12700,"Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)","black",2014,"wa"
"automatic",11600,"Tue Jun 16 2015 05:30:00 GMT-0700 (PDT)","black",2011,"ca"
"manual",12500,"Tue Feb 03 2015 04:30:00 GMT-0800 (PST)","black",2014,"or"
"automatic",13000,"Wed Feb 25 2015 01:00:00 GMT-0800 (PST)","black",2012,"nj"
"automatic",18700,"Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)","tan",2013,"mi"
"",17000,"Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)","gray",2012,"pa"
"automatic",12600,"Mon Feb 02 2015 01:30:00 GMT-0800 (PST)","—",2012,"nc"
"automatic",12200,"Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)","black",2007,"fl"
"automatic",800,"Thu May 21 2015 05:02:00 GMT-0700 (PDT)","gray",2004,"ms"
"automatic",12400,"Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)","black",2012,"nj"
"manual",28800,"Fri Jun 05 2015 04:00:00 GMT-0700 (PDT)","black",2013,"tx"
"automatic",7100,"Tue Dec 23 2014 09:30:00 GMT-0800 (PST)","gray",2012,"fl"
"automatic",27800,"Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)","gray",2013,"fl"
"automatic",13500,"Wed Dec 17 2014 12:30:00 GMT-0800 (PST)","gray",2011,"ca"
"automatic",19500,"Tue Jan 20 2015 01:30:00 GMT-0800 (PST)","black",2011,"ga"
"automatic",8600,"Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)","black",1996,"nc"
"automatic",10300,"Thu May 28 2015 05:00:00 GMT-0700 (PDT)","gray",2013,"az"
"automatic",1000,"Tue Jan 06 2015 03:00:00 GMT-0800 (PST)","beige",2002,"az"
"automatic",11100,"Thu May 28 2015 04:00:00 GMT-0700 (PDT)","black",2012,"tx"
"automatic",1100,"Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)","—",1999,"tx"
"manual",1900,"Wed Feb 18 2015 02:05:00 GMT-0800 (PST)","gray",1998,"tx"
"automatic",10100,"Thu Jan 15 2015 03:00:00 GMT-0800 (PST)","black",2008,"ne"
"automatic",21750,"Thu May 21 2015 05:30:00 GMT-0700 (PDT)","black",2013,"ca"
"automatic",9600,"Tue Jan 20 2015 02:00:00 GMT-0800 (PST)","gray",2011,"il"
"automatic",4800,"Tue Jan 06 2015 05:00:00 GMT-0800 (PST)","gray",2002,"ga"
"automatic",17000,"Thu Feb 19 2015 09:30:00 GMT-0800 (PST)","gray",2012,"mi"
"automatic",13500,"Mon Dec 29 2014 09:20:00 GMT-0800 (PST)","black",2009,"va"
"automatic",30000,"Thu Feb 26 2015 04:30:00 GMT-0800 (PST)","black",2013,"ca"
"automatic",4600,"Wed Mar 04 2015 01:30:00 GMT-0800 (PST)","gray",2007,"nj"
"automatic",15300,"Tue May 26 2015 05:30:00 GMT-0700 (PDT)","black",2013,"ca"
"manual",25600,"Thu Feb 19 2015 04:00:00 GMT-0800 (PST)","black",2013,"ca"
"",1500,"Tue Feb 24 2015 01:30:00 GMT-0800 (PST)","gray",2000,"md"
"",17000,"Fri Feb 20 2015 09:00:00 GMT-0800 (PST)","black",2012,"pa"
"automatic",20800,"Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)","black",2014,"md"
"manual",3900,"Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)","gray",2004,"mi"
"automatic",21500,"Tue Jan 20 2015 01:30:00 GMT-0800 (PST)","gray",2014,"fl"
"automatic",11000,"Wed Jan 14 2015 08:45:00 GMT-0800 (PST)","gray",2010,"fl"
"",7400,"Wed Jan 07 2015 12:30:00 GMT-0800 (PST)","gray",2011,"ca"
"automatic",20400,"Tue Dec 23 2014 14:00:00 GMT-0800 (PST)","black",2014,"mn"
"automatic",25900,"Thu Dec 18 2014 10:30:00 GMT-0800 (PST)","black",2013,"tx"
"automatic",10800,"Thu May 21 2015 02:30:00 GMT-0700 (PDT)","black",2012,"mi"
"automatic",19300,"Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)","beige",2012,"oh"
"automatic",40500,"Wed Jan 14 2015 02:00:00 GMT-0800 (PST)","black",2014,"wi"
"automatic",7600,"Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)","gray",2008,"ga"
"automatic",10800,"Thu Jan 15 2015 01:00:00 GMT-0800 (PST)","black",2010,"fl"
"automatic",2600,"Thu Dec 18 2014 09:15:00 GMT-0800 (PST)","gray",2009,"ny"
"automatic",11500,"Tue May 26 2015 03:30:00 GMT-0700 (PDT)","black",2014,"tn"
"automatic",13600,"Tue Feb 24 2015 01:30:00 GMT-0800 (PST)","gray",2014,"fl"
"automatic",18100,"Wed Feb 11 2015 02:15:00 GMT-0800 (PST)","black",2013,"la"
"automatic",11800,"Thu Mar 05 2015 03:00:00 GMT-0800 (PST)","gray",2007,"az"
"automatic",12400,"Tue Feb 24 2015 01:30:00 GMT-0800 (PST)","gray",2013,"fl"
"",18000,"Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)","beige",2013,"pa"
"automatic",28000,"Wed Feb 18 2015 04:30:00 GMT-0800 (PST)","beige",2012,"ca"
"automatic",16700,"Fri Mar 06 2015 03:00:00 GMT-0800 (PST)","gray",2012,"tx"
"automatic",20800,"Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)","gray",2015,"fl"
